"ageBin","age","n","positive","ageRow","pathogen","fraction","fitted.values.mean","fitted.values.sd","fitted.values.0.025quant","fitted.values.0.5quant","fitted.values.0.975quant","fitted.values.mode"
0,0,318,11,1,"h3n2",0.0345911949685535,0.0388940434647286,0.00421428532587424,0.0312623705261858,0.0386766080222805,0.047765628381578,0.0382446349637351
1,1,306,11,2,"h3n2",0.0359477124183007,0.0393824225988552,0.00403936935458763,0.032034882664706,0.0391850901849785,0.0478552782881644,0.0387927630469166
2,2,306,12,3,"h3n2",0.0392156862745098,0.0398794594653063,0.00387766176422817,0.0327971864852297,0.039699852139694,0.0479860181419088,0.0393425027555161
3,3,310,1,4,"h3n2",0.0032258064516129,0.040381069292942,0.00372960202959597,0.0335438302634838,0.0402169734355053,0.0481541889436995,0.0398903233311516
4,4,319,12,5,"h3n2",0.0376175548589342,0.040895980958852,0.00359648607282196,0.0342805797708834,0.0407453200746834,0.0483706978441188,0.0404453243616462
5,5,127,7,6,"h3n2",0.0551181102362205,0.0414128578622451,0.00347774336374033,0.0349966072853047,0.0412737588092634,0.0486225379016758,0.040996703390389
6,6,134,10,7,"h3n2",0.0746268656716418,0.0419301755059318,0.0033727770455495,0.0356908985694522,0.0418009869919219,0.0489064083720634,0.0415435979199691
7,7,141,7,8,"h3n2",0.049645390070922,0.0424428910890686,0.00328112400167487,0.0363587996431831,0.0423221365388922,0.0492158808155773,0.042081486101756
8,8,140,4,9,"h3n2",0.0285714285714286,0.0429503280877726,0.00320226795481895,0.0370001420991066,0.042836701386394,0.0495487985149466,0.0426101993017251
9,9,95,6,10,"h3n2",0.0631578947368421,0.0434521215854043,0.00313552532246484,0.0376154296020709,0.0433444767346622,0.0499030151368778,0.0431298496977552
10,10,84,6,11,"h3n2",0.0714285714285714,0.0439423775044772,0.00307955248036604,0.0382009071935228,0.0438397374713563,0.0502695343239279,0.0436350469753927
11,11,95,7,12,"h3n2",0.0736842105263158,0.0444196340297928,0.00303330928891081,0.0387567450951813,0.0443211609289568,0.0506444691611026,0.0441247440979996
12,12,79,3,13,"h3n2",0.0379746835443038,0.044880735928967,0.00299562978310512,0.0392817059616271,0.0447857179349102,0.051022028082642,0.044596161741055
13,13,79,3,14,"h3n2",0.0379746835443038,0.0453265002341323,0.00296551040647894,0.0397782534849252,0.04523433558212,0.0514007542756153,0.0450504451867558
14,14,88,3,15,"h3n2",0.0340909090909091,0.0457543424965999,0.0029418232177922,0.040245728219244,0.0456645278318593,0.0517755774534618,0.0454853036250288
15,15,78,3,16,"h3n2",0.0384615384615385,0.0461630710919158,0.00292363909945331,0.0406845279784013,0.046075182894526,0.0521432615954227,0.0458997949795057
16,16,164,2,17,"h3n2",0.0121951219512195,0.0465488481808589,0.00290985520893994,0.0410927513490438,0.046462540695763,0.0524975892240448,0.0462903031888224
17,17,151,8,18,"h3n2",0.0529801324503311,0.0469151018839782,0.0029002318342427,0.041474193611801,0.0468300646782816,0.0528414200812709,0.046660358571438
18,18,208,14,19,"h3n2",0.0673076923076923,0.0472537473199373,0.00289360593008576,0.0418228654672083,0.0471697336790374,0.0531642104615717,0.0470020671094519
19,19,195,14,20,"h3n2",0.0717948717948718,0.0475617881881148,0.00288951406152428,0.0421365935634208,0.0474785809139864,0.0534619728701832,0.0473125208821746
20,20,211,17,21,"h3n2",0.0805687203791469,0.0478384961585517,0.00288746300328279,0.0424155200411479,0.047755911356114,0.0537329187080958,0.0475910912997414
21,21,209,14,22,"h3n2",0.0669856459330144,0.0480807889609495,0.00288702200515442,0.0426573386684185,0.0479986663690956,0.0539730549349758,0.0478347668449779
22,22,229,13,23,"h3n2",0.0567685589519651,0.0482915824678981,0.00288806187805671,0.0428651722433808,0.0482097778078464,0.0541849994621042,0.0480465112640889
23,23,192,9,24,"h3n2",0.046875,0.0484725424153642,0.00289052395106216,0.0430407762837363,0.0483909201064307,0.0543702787021902,0.0482280162806286
24,24,232,9,25,"h3n2",0.0387931034482759,0.0486264775926941,0.00289421843858251,0.0431872815914805,0.0485449193465183,0.0545312809208456,0.0483821424706135
25,25,210,13,26,"h3n2",0.0619047619047619,0.0487582799515712,0.00289935724552699,0.0433091712976267,0.0486766651597005,0.0546733201901687,0.0485137748203742
26,26,210,13,27,"h3n2",0.0619047619047619,0.0488660929629045,0.00290554632968038,0.0434053055051279,0.0487843203577318,0.0547937130873697,0.0486211147045701
27,27,213,8,28,"h3n2",0.0375586854460094,0.0489527876401485,0.00291275225234566,0.0434786005412242,0.0488707629477684,0.0548952454929554,0.0487070540522718
