"ageBin","age","n","positive","ageRow","pathogen","fraction","fitted.values.mean","fitted.values.sd","fitted.values.0.025quant","fitted.values.0.5quant","fitted.values.0.975quant","fitted.values.mode"
0,0,318,147,1,"otherili",0.462264150943396,0.45329879338471,0.0184102743314911,0.417406419793254,0.453234774830458,0.489565537361474,0.453106262299076
1,1,306,153,2,"otherili",0.5,0.465531717433042,0.0144309817846627,0.437332617511793,0.46550279631772,0.493903563077902,0.465444918407052
2,2,306,155,3,"otherili",0.506535947712418,0.478017381950619,0.0123833338805131,0.453785991965733,0.478003822816864,0.502333036146676,0.477976767278489
3,3,310,145,4,"otherili",0.467741935483871,0.49169527724058,0.0119139515320438,0.468358501408134,0.491690518760992,0.515066018704206,0.491681102773939
4,4,319,149,5,"otherili",0.467084639498433,0.508197150022254,0.0123651588999976,0.4839486880374,0.508202126891525,0.532424496148256,0.508212229932006
5,5,127,66,6,"otherili",0.519685039370079,0.528561410106887,0.013174129733271,0.50268580791874,0.528581273451469,0.55433174768328,0.528621236353473
6,6,134,66,7,"otherili",0.492537313432836,0.552731520414457,0.0139394478848185,0.525295521990564,0.552772951523667,0.579940115731041,0.552856189435792
7,7,141,69,8,"otherili",0.48936170212766,0.580569556832493,0.0145129699152944,0.551930102900474,0.580639254232773,0.608821299215454,0.580779219059602
8,8,140,73,9,"otherili",0.521428571428571,0.611205944518976,0.014850567933714,0.581810461374487,0.611309182876793,0.640023302558735,0.61151646759181
9,9,95,72,10,"otherili",0.757894736842105,0.64284259558523,0.0149416095337689,0.613168129963036,0.642981540977154,0.671736069973527,0.643260495572747
10,10,84,60,11,"otherili",0.714285714285714,0.672861408827371,0.0147931941725161,0.643384932795185,0.673033317488082,0.701369469766573,0.673378428236016
11,11,95,76,12,"otherili",0.8,0.699851117716728,0.0144402669206034,0.670991536134964,0.700049542705341,0.727591358747535,0.700447851589446
12,12,79,62,13,"otherili",0.784810126582278,0.722810409425621,0.0139451308571636,0.69487078231386,0.723026679373227,0.749528946802542,0.72346065671128
13,13,79,60,14,"otherili",0.759493670886076,0.741572919270595,0.0133515406018481,0.71477267939653,0.741797602212329,0.767103851111279,0.742248279306356
14,14,88,68,15,"otherili",0.772727272727273,0.756302399582195,0.0127017453422649,0.730776398082743,0.756526698174643,0.780560834987923,0.756976440171795
15,15,78,60,16,"otherili",0.769230769230769,0.767211441177803,0.0120414923633,0.742999982593131,0.767428306635458,0.790197137073094,0.767863008157985
