"ageBin","age","n","positive","ageRow","pathogen","fraction","fitted.values.mean","fitted.values.sd","fitted.values.0.025quant","fitted.values.0.5quant","fitted.values.0.975quant","fitted.values.mode"
0,0,318,129,1,"rsva",0.405660377358491,0.415476395218462,0.0201758548533711,0.376349758468619,0.415334436438246,0.455421039630681,0.415048966316976
1,1,306,120,2,"rsva",0.392156862745098,0.414732697749516,0.0148980976953394,0.385758736591455,0.414654614631288,0.444159070514943,0.414498095677722
2,2,306,115,3,"rsva",0.375816993464052,0.41334304672558,0.0130171105342154,0.388004096720969,0.413282412031685,0.439034213157176,0.413160983778578
3,3,310,132,4,"rsva",0.425806451612903,0.40908957532663,0.0130690232828088,0.383659430630798,0.409025258151045,0.434892896863043,0.408896446011295
4,4,319,142,5,"rsva",0.445141065830721,0.397183611781099,0.0138538061101488,0.370268000658471,0.39710109024037,0.424576299044604,0.396935737381788
5,5,127,48,6,"rsva",0.377952755905512,0.374312614035546,0.0148111022687648,0.345622761763503,0.374194750410375,0.403680912302592,0.373958428216153
6,6,134,44,7,"rsva",0.328358208955224,0.341206604192223,0.0154400350044006,0.311430062995886,0.341038026515685,0.371950109044775,0.340699834231845
7,7,141,59,8,"rsva",0.418439716312057,0.299430662157828,0.0155840433409116,0.2695552954002,0.299198287656392,0.330635583366224,0.298731905951741
8,8,140,52,9,"rsva",0.371428571428571,0.251198377569672,0.0151558228492241,0.222368002408022,0.250894492581017,0.281764474311244,0.250284852982287
9,9,95,8,10,"rsva",0.0842105263157895,0.202454036162683,0.0141570129591232,0.175769288101171,0.202084950916916,0.23124465262878,0.201345024344644
10,10,84,6,11,"rsva",0.0714285714285714,0.160195693806529,0.0127859648139247,0.136323092820435,0.159783513411183,0.186418679763601,0.15895804983822
11,11,95,5,12,"rsva",0.0526315789473684,0.126648821001607,0.0112897148786744,0.105758131508597,0.126219926640083,0.149984546122015,0.125362401731629
12,12,79,2,13,"rsva",0.0253164556962025,0.101422680669989,0.00986955568739629,0.0833029066706823,0.100998547288174,0.121960139220878,0.100151714396252
13,13,79,3,14,"rsva",0.0379746835443038,0.0829356858296791,0.00861181196069117,0.0672250834921358,0.0825312787435267,0.100951555500515,0.0817249978285215
14,14,88,9,15,"rsva",0.102272727272727,0.0694114366278445,0.00752967698837732,0.0557388490565501,0.069035965306091,0.0852244732215872,0.0682884132787361
15,15,78,9,16,"rsva",0.115384615384615,0.0593652384523861,0.00660360541924302,0.0474101993406657,0.0590236193590991,0.0732678904061707,0.0583441462702975
16,16,164,11,17,"rsva",0.0670731707317073,0.0519114545017424,0.00582889276692492,0.0413747257342336,0.0516044761453834,0.0641984309468546,0.0509943046515988
17,17,151,5,18,"rsva",0.033112582781457,0.0466015463822542,0.00522369525302582,0.0371621714339233,0.0463252479510461,0.0576163386406017,0.045776262862321
18,18,208,3,19,"rsva",0.0144230769230769,0.0432142554251911,0.0047949862251252,0.0345448265454261,0.0429622074843427,0.0533208890538806,0.0424614683111482
19,19,195,12,20,"rsva",0.0615384615384615,0.0415745099309343,0.00453904248927448,0.0333579297034182,0.0413392573400248,0.0511325617309782,0.0408718458325289
20,20,211,6,21,"rsva",0.028436018957346,0.0414360463438741,0.00442772357493173,0.0334068969460482,0.0412113369934682,0.0507465674062267,0.0407647565167504
21,21,209,4,22,"rsva",0.0191387559808612,0.0428792406729498,0.00446024300237406,0.0347726520624886,0.0426591621268576,0.0522408051672008,0.0422215932194211
22,22,229,8,23,"rsva",0.0349344978165939,0.0460486465016788,0.00463512628442193,0.0376005020195233,0.0458280188779055,0.0557549053337714,0.0453890869567624
23,23,192,4,24,"rsva",0.0208333333333333,0.0510589036850782,0.00494345888809459,0.042019060450385,0.0508337534781701,0.0613826635132169,0.0503854694161852
24,24,232,17,25,"rsva",0.0732758620689655,0.0580323641449281,0.00537069257910322,0.0481745469372503,0.05780032401226,0.0692134165955374,0.0573380438527235
25,25,210,14,26,"rsva",0.0666666666666667,0.0667682628504611,0.00588318634489311,0.055927269873129,0.0665286595534214,0.0789756762858082,0.0660510198244244
26,26,210,20,27,"rsva",0.0952380952380952,0.0770737504632746,0.00645675112246808,0.0651292427826646,0.0768268057037488,0.0904266329383935,0.0763342064696249
27,27,213,23,28,"rsva",0.107981220657277,0.0884832307689455,0.00706972009651046,0.0753577983587704,0.0882290238872215,0.103058566907381,0.0877216028870146
28,28,246,23,29,"rsva",0.0934959349593496,0.10051081917705,0.00773043514960572,0.086116383398239,0.100247477667361,0.116407369633436,0.0997214954245092
29,29,251,23,30,"rsva",0.0916334661354582,0.112823604173846,0.00847667624697336,0.0970065180919344,0.112546329196087,0.130222352665152,0.111992202702709
30,30,142,26,31,"rsva",0.183098591549296,0.124833820740497,0.00928955771710946,0.107476588272405,0.124538115739803,0.143877860014335,0.123946853889821
31,31,119,18,32,"rsva",0.151260504201681,0.135213053808442,0.0100154180029357,0.116481090070867,0.134900732469387,0.155726606428261,0.134275971075177
32,32,133,20,33,"rsva",0.150375939849624,0.143430731370341,0.0105650081628963,0.123653477774482,0.143107360749758,0.165052618201123,0.142460266859775
33,33,138,17,34,"rsva",0.123188405797101,0.149255005593164,0.0109211417850643,0.128795716084673,0.148926097756928,0.17159054984242,0.148267783784256
34,34,145,27,35,"rsva",0.186206896551724,0.152731817864642,0.0111123017320592,0.131903453875689,0.152400967545094,0.175447553893828,0.151738705389529
35,35,129,23,36,"rsva",0.178294573643411,0.153570156474953,0.0111511625042056,0.132665715556977,0.153239272478716,0.176362175482672,0.152576930422561
36,36,143,17,37,"rsva",0.118881118881119,0.152193925200989,0.0110753403805017,0.131435870980457,0.151863812497558,0.174835143243558,0.151203038304996
37,37,137,14,38,"rsva",0.102189781021898,0.149492554275168,0.0109576537196537,0.128966178199029,0.149162102093037,0.171903980742784,0.148500686147662
38,38,148,23,39,"rsva",0.155405405405405,0.145797783746413,0.0108279397907759,0.125532665050235,0.145464927578914,0.167961575796282,0.144798788690582
39,39,138,18,40,"rsva",0.130434782608696,0.140697431478799,0.0106709782353379,0.120754211287015,0.140359688453878,0.162567059974899,0.139683931201828
40,40,141,18,41,"rsva",0.127659574468085,0.134051746587475,0.0104693911911936,0.114524177872068,0.133706969013116,0.155545661967736,0.133017358792267
41,41,131,23,42,"rsva",0.175572519083969,0.125660611003515,0.0101951415292553,0.106695327432677,0.125307378562117,0.146640242865144,0.124601154898739
42,42,146,18,43,"rsva",0.123287671232877,0.115373850615114,0.00980700747941469,0.097193220031365,0.115012505450074,0.135614866131128,0.114290451400315
43,43,129,15,44,"rsva",0.116279069767442,0.10384988850156,0.00931616378422145,0.0866514319929472,0.103481801334668,0.123146966308394,0.102746743583544
44,44,127,24,45,"rsva",0.188976377952756,0.0918163900891657,0.00872791317296071,0.0757807959323179,0.0914451553648409,0.109968401870113,0.090704333876003
45,45,120,1,46,"rsva",0.00833333333333333,0.0799864500229842,0.00806292062044647,0.0652488938322687,0.0796173785870011,0.0968280206565964,0.0788815019948824
46,46,116,7,47,"rsva",0.0603448275862069,0.0696771705944356,0.00742586818183952,0.0561738293108876,0.0693134075521058,0.0852542627096048,0.068589027264939
47,47,120,2,48,"rsva",0.0166666666666667,0.0611373254355844,0.0068559576317884,0.0487316935048602,0.0607805576905102,0.0755768782159106,0.060070918504871
48,48,119,4,49,"rsva",0.0336134453781513,0.0544112193965896,0.00638530392177452,0.042909944729489,0.0540610134437533,0.0679090833046317,0.0533651163459867
49,49,125,4,50,"rsva",0.032,0.0492249645692565,0.00601251060113927,0.0384401281099358,0.0488799514590269,0.0619768749025572,0.04819494878844
50,50,116,6,51,"rsva",0.0517241379310345,0.0452713065342034,0.00572623742159417,0.0350382619984445,0.0449297566902552,0.0574517727858951,0.0442521052798014
51,51,124,5,52,"rsva",0.0403225806451613,0.0422413011460129,0.00550615698042726,0.0324339613028491,0.0419019272459322,0.0539837480767976,0.0412292118208384
52,52,104,4,53,"rsva",0.0384615384615385,0.0399360202549352,0.00534021034200091,0.0304514316833183,0.0395977085489411,0.0513497453397693,0.0389276246625369
53,53,135,5,54,"rsva",0.037037037037037,0.0381964621475284,0.00521581982869583,0.0289549804450776,0.0378585597711464,0.0493648230471761,0.0371897123329087
54,54,123,6,55,"rsva",0.0487804878048781,0.0368960226929962,0.00512392460146266,0.0278351320465877,0.036558095525065,0.0478839996356749,0.0358895370657135
55,55,108,5,56,"rsva",0.0462962962962963,0.0359273101492005,0.00505133864033947,0.0270078064152926,0.035589789820695,0.0467716328329956,0.0349222860288307
56,56,95,1,57,"rsva",0.0105263157894737,0.035247553899136,0.00499041194752678,0.0264431099356364,0.0349115906531076,0.0459679728857764,0.0342473172063487
57,57,106,7,58,"rsva",0.0660377358490566,0.0348618581556281,0.0049404528241538,0.0261468589407933,0.0345288168026767,0.0454761841302873,0.0338703628638493
58,58,129,4,59,"rsva",0.0310077519379845,0.0347025012747546,0.00489376888663861,0.0260653115865204,0.0343741263398514,0.0452124018125721,0.0337248409325464
59,59,127,6,60,"rsva",0.047244094488189,0.0348201516075312,0.00485982618658101,0.0262329935070309,0.0344973653114259,0.0452481274382639,0.0338589780193993
60,60,112,5,61,"rsva",0.0446428571428571,0.03525227281614,0.00484355309268872,0.0266788875153741,0.0349355969783369,0.0456315916170554,0.0343090500598245
61,61,123,2,62,"rsva",0.016260162601626,0.0360998068669028,0.00485655521022967,0.0274833385920015,0.0357890279971434,0.0464885287259379,0.0351738082226368
