"ageBin","age","n","positive","ageRow","pathogen","fraction","fitted.values.mean","fitted.values.sd","fitted.values.0.025quant","fitted.values.0.5quant","fitted.values.0.975quant","fitted.values.mode"
0,0,318,2,1,"yam",0.00628930817610063,0.0132205643122613,0.00190343479221906,0.00987725471875147,0.0130873426593644,0.0173239502800149,0.0128246861401267
1,1,306,3,2,"yam",0.00980392156862745,0.0133173627756889,0.00186821241139287,0.0100261518220661,0.0131898769007987,0.0173358894555893,0.012938362379389
2,2,306,6,3,"yam",0.0196078431372549,0.013415367687591,0.00183381585475934,0.0101754245573037,0.0132933568677351,0.0173513602994908,0.0130524841820243
3,3,310,6,4,"yam",0.0193548387096774,0.0135140856827986,0.00180022014028613,0.0103246020715738,0.0133972974362216,0.0173697991054838,0.0131665822182653
4,4,319,3,5,"yam",0.00940438871473354,0.0136134968891334,0.00176746278634663,0.010473575218487,0.0135016833260637,0.0173912483219698,0.0132806496933321
5,5,127,1,6,"yam",0.0078740157480315,0.01371426391712,0.00173569797091119,0.0106227141943538,0.0136071730276215,0.0174166857842437,0.013395336396316
6,6,134,2,7,"yam",0.0149253731343284,0.0138160434010645,0.00170484302150689,0.0107717852269013,0.0137134404017761,0.0174455596078306,0.0135103493331005
7,7,141,1,8,"yam",0.00709219858156028,0.0139185966905349,0.00167493315508686,0.0109204685148278,0.0138202503257031,0.017477691610179,0.0136255003333408
8,8,140,3,9,"yam",0.0214285714285714,0.0140224119719402,0.00164605725620789,0.0110690681818926,0.013928093714875,0.0175137379474027,0.0137412502077507
9,9,95,0,10,"yam",0,0.0141267233894887,0.00161816074789523,0.0112168927264313,0.0140362153583592,0.0175527972265633,0.0138568527622216
10,10,84,2,11,"yam",0.0238095238095238,0.014232402174113,0.00159135854208427,0.0113645797931858,0.0141454887681761,0.017595960824619,0.0139731857241172
11,11,95,1,12,"yam",0.0105263157894737,0.0143386350681028,0.00156558963229006,0.0115114025609079,0.0142551115982599,0.0176422664380025,0.0140894681006512
12,12,79,1,13,"yam",0.0126582278481013,0.0144458744204154,0.00154094007017218,0.0116576355888326,0.0143655388498493,0.0176923287404405,0.014206159849492
13,13,79,2,14,"yam",0.0253164556962025,0.0145540345306199,0.00151742124381537,0.0118031483339016,0.0144766921311578,0.0177460648914561,0.0143231967244822
14,14,88,1,15,"yam",0.0113636363636364,0.0146627894738408,0.00149502916747496,0.0119476000333598,0.0145882529185224,0.0178031213296198,0.0144402745505671
15,15,78,0,16,"yam",0,0.0147723678772706,0.00147382024605519,0.0120910957476553,0.0147004539389471,0.0178638266344626,0.014557633849805
16,16,164,1,17,"yam",0.00609756097560976,0.0148827788059491,0.0014538053905397,0.0122336011107906,0.0148133115008494,0.0179281917903121,0.014675304926248
17,17,151,3,18,"yam",0.0198675496688742,0.0149941913669785,0.00143505774659536,0.0123751356488631,0.0149269965384624,0.0179965248866838,0.0147934620396973
18,18,208,6,19,"yam",0.0288461538461538,0.0151062909646358,0.00141754713706729,0.0125154165170187,0.0150412036097575,0.0180684272216781,0.0149118175448588
19,19,195,2,20,"yam",0.0102564102564103,0.0152184013548238,0.00140125835237526,0.0126537795749625,0.015155262333136,0.0181431768781365,0.0150297158669952
20,20,211,4,21,"yam",0.018957345971564,0.0153317407124972,0.00138631030407348,0.0127912046741438,0.0152703924174295,0.0182222214992703,0.0151483901574268
21,21,209,6,22,"yam",0.0287081339712919,0.0154457218909268,0.00137267566602305,0.0129271380349265,0.01538601347739,0.0183049019135966,0.0152672569157195
22,22,229,6,23,"yam",0.0262008733624454,0.0155600417568466,0.00136033932873411,0.0130612867757194,0.0155018288681795,0.0183908676530546,0.015386032320697
23,23,192,4,24,"yam",0.0208333333333333,0.0156748459713622,0.00134934073992449,0.0131937095580538,0.0156179874104272,0.0184803332922931,0.0155048713899885
24,24,232,6,25,"yam",0.0258620689655172,0.0157906087121141,0.00133971089445387,0.0133248056801475,0.0157349679841605,0.0185738210219227,0.0156242622537985
25,25,210,4,26,"yam",0.019047619047619,0.0159067394287791,0.0013314291492849,0.0134540109319168,0.0158521847866302,0.0186706868263637,0.0157436284804241
26,26,210,4,27,"yam",0.019047619047619,0.0160238426667601,0.00132453830927505,0.0135818358460961,0.0159702457131971,0.0187716101287919,0.015863584530818
27,27,213,2,28,"yam",0.00938967136150235,0.0161415945380554,0.00131901700430906,0.0137079838111502,0.0160888318166481,0.0188762115579298,0.0159838212039538
28,28,246,3,29,"yam",0.0121951219512195,0.0162606173299409,0.00131491112421846,0.0138329802070553,0.0162085676769962,0.0189851972155505,0.0161049675583406
29,29,251,5,30,"yam",0.0199203187250996,0.0163808859824502,0.00131222439581484,0.013956783411908,0.016329431347888,0.0190985408289372,0.0162270077771057
30,30,142,0,31,"yam",0,0.0165017218590404,0.00131091206962258,0.0140787894357199,0.0164507486471383,0.0192154636934749,0.0163492764812631
31,31,119,1,32,"yam",0.00840336134453781,0.0166243462039503,0.00131103290598348,0.0142000983991016,0.0165737427860489,0.0193372969627797,0.0164730007120835
32,32,133,1,33,"yam",0.0075187969924812,0.0167481083144501,0.00131253671360784,0.0143201458155174,0.0166977672254196,0.0194632799619334,0.0165975421682658
33,33,138,2,34,"yam",0.0144927536231884,0.0168733952082011,0.00131545492112583,0.014439254839199,0.0168232097139862,0.0195938593988829,0.0167232900047565
34,34,145,2,35,"yam",0.0137931034482759,0.0169999976276988,0.00131976544735449,0.0145572516775154,0.0169498636643896,0.0197287753187077,0.0168500429148021
35,35,129,3,36,"yam",0.0232558139534884,0.0171282537531074,0.0013254954711147,0.0146744204399036,0.0170780674993768,0.0198684185870018,0.0169781397742403
36,36,143,1,37,"yam",0.00699300699300699,0.01725761360571,0.00133259407043022,0.0147903016952165,0.0172072744319445,0.0200121304704098,0.0171070401121026
37,37,137,1,38,"yam",0.0072992700729927,0.0173888410804026,0.00134112923376867,0.0149055323332519,0.0173382461672377,0.020160814357282,0.0172375012656473
38,38,148,3,39,"yam",0.0202702702702703,0.0175219020839738,0.00135109697219617,0.0150200843598313,0.0174709492001484,0.0203144266990648,0.0173694908879764
39,39,138,0,40,"yam",0,0.0176560362656512,0.0013624539234172,0.0151332791870982,0.0176046243102767,0.0204721189257813,0.0175022520094864
40,40,141,1,41,"yam",0.00709219858156028,0.0177923135180807,0.00137528659982,0.0152460272918357,0.0177403378659249,0.0206351404487011,0.0176368439836421
41,41,131,3,42,"yam",0.0229007633587786,0.0179304237438175,0.00138959091260254,0.0153580296665897,0.0178777787241794,0.0208031760348477,0.0177729535976546
42,42,146,5,43,"yam",0.0342465753424658,0.0180701372972395,0.00140536146978948,0.0154690701443826,0.0180167162554781,0.0209759881655586,0.0179103482891356
43,43,129,1,44,"yam",0.00775193798449612,0.0182108044152385,0.00142258134148476,0.015578537005441,0.0181564990539437,0.0211528983909635,0.0180483734129496
