encountered_week,residence_puma,pathogen,modeled_intensity_mean,modeled_intensity_sd,modeled_intensity_lower_95_CI,modeled_intensity_median,modeled_intensity_upper_95_CI,modeled_intensity_mode
2018-W47,10100,h1n1pdm,Inf,Inf,2.4917091947361e-77,4.91632689617914e-08,8.52236662126613e+61,4.92833506427806e-08
2018-W48,10100,h1n1pdm,Inf,Inf,6.54538485313251e-74,7.21035920029963e-08,7.02103788525346e+58,7.22712582298396e-08
2018-W49,10100,h1n1pdm,Inf,Inf,1.59481790506755e-70,1.05810902977322e-07,6.2430022711775e+55,1.06044604634869e-07
2018-W50,10100,h1n1pdm,Inf,Inf,3.56283575507744e-67,1.55467530852682e-07,6.06903506539182e+52,1.55792753650641e-07
2018-W51,10100,h1n1pdm,Inf,Inf,7.20323912113754e-64,2.29116860089558e-07,6.55817556743201e+49,2.29569051325833e-07
2018-W52,10100,h1n1pdm,Inf,Inf,1.29431510021356e-60,3.3866014211172e-07,8.02063141063139e+46,3.39287859341955e-07
2019-W01,10100,h1n1pdm,Inf,Inf,2.0145903091411e-57,5.00315715592493e-07,1.1310942111498e+44,5.01182865096461e-07
2019-W02,10100,h1n1pdm,Inf,Inf,2.63308660635905e-54,7.35971025210137e-07,1.88309600968064e+41,7.37158879763145e-07
2019-W03,10100,h1n1pdm,Inf,Inf,2.77804245521785e-51,1.07190373478616e-06,3.80658692706455e+38,1.07350933843485e-06
2019-W04,10100,h1n1pdm,Inf,Inf,2.24896253163702e-48,1.53212230340023e-06,9.65659709225622e+35,1.53424891706454e-06
2019-W05,10100,h1n1pdm,Inf,Inf,1.31601718729591e-45,2.13233757041591e-06,3.2122962962163e+33,2.13508055997859e-06
2019-W06,10100,h1n1pdm,Inf,Inf,5.16650968008385e-43,2.85884466079261e-06,1.47760704558804e+31,2.86226356059948e-06
2019-W07,10100,h1n1pdm,Inf,Inf,1.23389490210384e-40,3.6185425981591e-06,9.95417736362197e+28,3.62260248035791e-06
2019-W08,10100,h1n1pdm,Inf,Inf,1.62571580963115e-38,4.30163999445983e-06,1.07172821274191e+27,4.30621168127705e-06
2019-W09,10100,h1n1pdm,2.35395057688508e+275,Inf,1.07689622520989e-36,4.86892341975756e-06,2.07957831098554e+25,4.87385324431807e-06
2019-W10,10100,h1n1pdm,4.65938171447742e+249,Inf,3.25255435679839e-35,5.34390056950033e-06,8.31646883206911e+23,5.34907701209326e-06
2019-W11,10100,h1n1pdm,3.24952368829075e+231,Inf,4.05705503252728e-34,5.78412502468015e-06,7.82661014267539e+22,5.789522300091e-06
2019-W12,10100,h1n1pdm,8.0312939436719e+220,Inf,1.90057609279078e-33,6.21033675624236e-06,1.92830049824367e+22,6.21599030386346e-06
2019-W13,10100,h1n1pdm,7.00074666540173e+217,Inf,3.10822885408194e-33,6.5826782241788e-06,1.32517509153589e+22,6.58862421103867e-06
2019-W14,10100,h1n1pdm,2.12034431960127e+222,Inf,1.71132217305486e-33,6.7855282639117e-06,2.5561897142089e+22,6.79171450392114e-06
2019-W15,10100,h1n1pdm,2.19095923496716e+234,Inf,3.21132872295377e-34,6.67900080372961e-06,1.31798882749608e+23,6.68523708681808e-06
2019-W16,10100,h1n1pdm,7.64963025695862e+253,Inf,2.1936741413766e-35,6.21730112430943e-06,1.6683540004213e+24,6.22331910366553e-06
2019-W17,10100,h1n1pdm,8.94052364914227e+280,Inf,6.00185267458871e-37,5.42248592753826e-06,4.62543740570775e+25,5.42798808027547e-06
2019-W18,10100,h1n1pdm,Inf,Inf,7.40845357730425e-39,4.44076720699675e-06,2.5046902837984e+27,4.44553799073086e-06
2019-W19,10100,h1n1pdm,Inf,Inf,4.6587793471369e-41,3.4379098662924e-06,2.37785042328481e+29,3.44185108066396e-06
2019-W20,10100,h1n1pdm,Inf,Inf,1.68154403168914e-43,2.55414110435254e-06,3.62049884120489e+31,2.55727596475097e-06
2019-W21,10100,h1n1pdm,Inf,Inf,3.82302127105679e-46,1.82665884442434e-06,8.10702465307578e+33,1.82906465235976e-06
2019-W22,10100,h1n1pdm,Inf,Inf,5.89025107996285e-49,1.25519640156719e-06,2.47216193934925e+36,1.25697709215342e-06
2019-W23,10100,h1n1pdm,Inf,Inf,6.58111012838349e-52,8.33904840248164e-07,9.71499092622474e+38,8.35182843420878e-07
2019-W24,10100,h1n1pdm,Inf,Inf,5.66018616669105e-55,5.40935893330568e-07,4.72712687421149e+41,5.41832021259994e-07
2019-W25,10100,h1n1pdm,Inf,Inf,3.92579388297794e-58,3.44759556865014e-07,2.75290336293958e+44,3.4537654909409e-07
2019-W26,10100,h1n1pdm,Inf,Inf,2.27355389586233e-61,2.1638940498205e-07,1.86180360708782e+47,2.16807452920756e-07
2019-W27,10100,h1n1pdm,Inf,Inf,1.13500463000903e-64,1.34500316806788e-07,1.43232285991423e+50,1.34780272464385e-07
