CRA_NAME,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
Alki/Admiral,h1n1pdm,2018_W47,0.000233633,9.64E-06,0.000233697,0.00563461,0.000233857,2
Arbor Heights,h1n1pdm,2018_W47,0.000202886,1.25E-05,0.000202961,0.003266776,0.000203139,2
Ballard,h1n1pdm,2018_W47,0.000521895,5.89E-05,0.000522114,0.004607556,0.000522603,2
Beacon Hill,h1n1pdm,2018_W47,7.46E-05,2.93E-06,7.46E-05,0.001891438,7.47E-05,1
Belltown,h1n1pdm,2018_W47,1.93E-05,1.62E-06,1.93E-05,0.000227459,1.93E-05,1
Broadview/Bitter Lake,h1n1pdm,2018_W47,3.32E-05,5.04E-07,3.33E-05,0.002177604,3.33E-05,1
Capitol Hill,h1n1pdm,2018_W47,5.47E-05,3.84E-06,5.47E-05,0.000773066,5.48E-05,1
Cascade/Eastlake,h1n1pdm,2018_W47,0.000366833,3.62E-05,0.000366956,0.003705941,0.000367239,2
Cedar Park/Meadowbrook,h1n1pdm,2018_W47,0.000153964,2.09E-05,0.000154054,0.001126532,0.000154249,1
Central Area/Squire Park,h1n1pdm,2018_W47,9.09E-05,1.27E-05,9.10E-05,0.000648845,9.11E-05,1
Columbia City,h1n1pdm,2018_W47,9.40E-05,5.51E-06,9.40E-05,0.001596414,9.41E-05,1
Downtown Commercial Core,h1n1pdm,2018_W47,3.26E-05,1.78E-06,3.26E-05,0.000591936,3.27E-05,1
Duwamish/SODO,h1n1pdm,2018_W47,6.72E-06,9.35E-08,6.73E-06,0.000479039,6.74E-06,1
Fauntleroy/Seaview,h1n1pdm,2018_W47,0.000419319,2.83E-05,0.000419443,0.006180562,0.000419741,2
First Hill,h1n1pdm,2018_W47,5.44E-05,3.79E-06,5.44E-05,0.000776935,5.45E-05,1
Fremont,h1n1pdm,2018_W47,7.76E-05,7.29E-06,7.76E-05,0.000821954,7.77E-05,1
