GEOID,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
53033000100,h1n1pdm,2018_W47,8.53E-06,5.27E-07,8.53E-06,0.00013777,8.53E-06,3
53033000200,h1n1pdm,2018_W47,2.67E-05,2.64E-06,2.67E-05,0.00027051,2.67E-05,3
53033000300,h1n1pdm,2018_W47,5.97E-05,4.08E-07,5.97E-05,0.008705932,5.97E-05,3
53033000401,h1n1pdm,2018_W47,0.001281728,1.65E-05,0.001281648,0.099024662,0.001281728,4
53033000402,h1n1pdm,2018_W47,6.09E-08,2.61E-11,6.09E-08,0.000141251,6.09E-08,1
53033000500,h1n1pdm,2018_W47,6.33E-08,1.60E-12,6.32E-08,0.002484221,6.33E-08,1
53033000600,h1n1pdm,2018_W47,1.21E-06,1.90E-10,1.21E-06,0.007675733,1.21E-06,2
53033000700,h1n1pdm,2018_W47,7.42E-05,7.37E-06,7.42E-05,0.000746504,7.42E-05,3
53033000800,h1n1pdm,2018_W47,0.000114406,1.06E-05,0.000114402,0.00122857,0.000114406,3
53033000900,h1n1pdm,2018_W47,2.16E-05,1.47E-06,2.16E-05,0.000315962,2.16E-05,3
53033001000,h1n1pdm,2018_W47,3.44E-07,7.68E-09,3.43E-07,1.53E-05,3.44E-07,1
53033001100,h1n1pdm,2018_W47,3.42E-05,3.50E-06,3.42E-05,0.000332539,3.42E-05,3
53033001200,h1n1pdm,2018_W47,0.000120287,8.22E-06,0.000120283,0.00175603,0.000120288,3
53033001300,h1n1pdm,2018_W47,4.60E-09,1.03E-69,4.59E-09,1.83E+52,4.60E-09,1
53033001400,h1n1pdm,2018_W47,1.12E-06,1.76E-10,1.12E-06,0.007092558,1.12E-06,2
53033001500,h1n1pdm,2018_W47,4.66E-09,9.25E-70,4.65E-09,2.09E+52,4.66E-09,1
53033001600,h1n1pdm,2018_W47,5.11E-05,1.60E-06,5.11E-05,0.001622939,5.11E-05,3
53033001701,h1n1pdm,2018_W47,4.69E-05,6.08E-07,4.69E-05,0.003608578,4.69E-05,3
53033001702,h1n1pdm,2018_W47,2.47E-05,1.21E-07,2.47E-05,0.005005284,2.47E-05,3
53033001800,h1n1pdm,2018_W47,0.00011921,3.28E-07,0.0001192,0.043162561,0.000119211,3
53033001900,h1n1pdm,2018_W47,2.02E-05,1.44E-06,2.02E-05,0.000283103,2.02E-05,3
53033002000,h1n1pdm,2018_W47,9.20E-05,1.53E-05,9.20E-05,0.000550971,9.20E-05,3
53033002100,h1n1pdm,2018_W47,6.86E-05,3.78E-06,6.86E-05,0.001240858,6.86E-05,3
53033002200,h1n1pdm,2018_W47,1.25E-09,2.33E-12,1.25E-09,6.66E-07,1.25E-09,1
53033002400,h1n1pdm,2018_W47,0.00110975,4.32E-05,0.001109698,0.028454823,0.00110975,4
53033002500,h1n1pdm,2018_W47,5.94E-06,1.12E-07,5.94E-06,0.000314972,5.94E-06,2
53033002600,h1n1pdm,2018_W47,4.33E-05,2.50E-06,4.33E-05,0.000745781,4.33E-05,3
53033002700,h1n1pdm,2018_W47,9.73E-09,1.42E-13,9.73E-09,0.000660719,9.73E-09,1
53033002800,h1n1pdm,2018_W47,9.13E-06,7.26E-08,9.13E-06,0.001144035,9.13E-06,3
53033002900,h1n1pdm,2018_W47,0.00013055,7.93E-06,0.000130545,0.00214455,0.000130551,3
53033003000,h1n1pdm,2018_W47,1.08E-05,4.45E-08,1.08E-05,0.002595488,1.08E-05,3
53033003100,h1n1pdm,2018_W47,2.89E-06,4.64E-08,2.89E-06,0.00017875,2.89E-06,2
53033003200,h1n1pdm,2018_W47,3.43E-05,4.05E-06,3.43E-05,0.000290472,3.43E-05,3
