GEOID,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
53033000100,h3n2,2019_W02,0.001039885,0.000148049,0.001039856,0.007292199,0.001039885,4
53033000200,h3n2,2019_W02,0.005875628,0.001824969,0.005875529,0.018898589,0.005875628,5
53033000300,h3n2,2019_W02,6.86E-07,5.85E-55,6.85E-07,7.33E+41,6.86E-07,1
53033000401,h3n2,2019_W02,7.42E-07,2.23E-55,7.41E-07,2.25E+42,7.42E-07,1
53033000402,h3n2,2019_W02,0.000971975,3.83E-05,0.00097193,0.024569822,0.000971975,4
53033000500,h3n2,2019_W02,0.001795673,9.70E-05,0.001795598,0.033144307,0.001795673,4
53033000600,h3n2,2019_W02,0.002947933,0.000139268,0.002947804,0.062241239,0.002947933,5
53033000700,h3n2,2019_W02,2.28E-07,7.16E-51,2.28E-07,6.67E+36,2.28E-07,1
53033000800,h3n2,2019_W02,0.005914694,0.001756605,0.005914591,0.019895297,0.005914694,5
53033000900,h3n2,2019_W02,0.004683524,0.001307961,0.004683438,0.016752842,0.004683524,5
53033001000,h3n2,2019_W02,0.00171401,0.00032356,0.001713969,0.009067084,0.00171401,4
53033001100,h3n2,2019_W02,0.000831778,0.000119086,0.000831755,0.005800287,0.000831778,4
53033001200,h3n2,2019_W02,0.001473464,0.000221839,0.001473424,0.009771354,0.001473464,4
53033001300,h3n2,2019_W02,0.004133273,0.000528243,0.004133151,0.032285593,0.004133273,5
53033001400,h3n2,2019_W02,0.003420232,0.000414362,0.003420128,0.028181606,0.003420232,5
53033001500,h3n2,2019_W02,0.000494815,1.58E-05,0.00049479,0.015466327,0.000494815,3
53033001600,h3n2,2019_W02,0.002509718,0.000285616,0.00250964,0.022013026,0.002509718,4
53033001701,h3n2,2019_W02,6.29E-07,6.27E-55,6.28E-07,5.76E+41,6.29E-07,1
53033001702,h3n2,2019_W02,0.005541099,0.00057176,0.005540918,0.053598757,0.005541099,5
53033001800,h3n2,2019_W02,0.000805209,1.74E-05,0.000805165,0.037138453,0.000805209,3
53033001900,h3n2,2019_W02,0.001777135,0.000353026,0.001777094,0.008934066,0.001777135,4
53033002000,h3n2,2019_W02,0.002857337,0.000992517,0.002857294,0.008218678,0.002857337,5
53033002100,h3n2,2019_W02,0.000920853,6.64E-05,0.000920818,0.012733869,0.000920853,4
53033002200,h3n2,2019_W02,0.002440948,0.000319742,0.002440877,0.018602906,0.002440948,4
53033002400,h3n2,2019_W02,0.002589346,0.000135137,0.002589236,0.049491955,0.002589346,4
53033002500,h3n2,2019_W02,0.000868144,2.90E-05,0.000868102,0.025929667,0.000868144,4
53033002600,h3n2,2019_W02,0.002611927,0.00044791,0.002611861,0.015208701,0.002611927,4
53033002700,h3n2,2019_W02,0.006301618,0.001266181,0.006301473,0.031320347,0.006301618,5
53033002800,h3n2,2019_W02,5.03E-07,5.25E-54,5.03E-07,4.41E+40,5.03E-07,1
53033002900,h3n2,2019_W02,0.00325957,0.000284744,0.003259456,0.037237633,0.00325957,5
53033003000,h3n2,2019_W02,0.010252316,0.002924053,0.010252132,0.035909067,0.010252316,5
53033003100,h3n2,2019_W02,0.001082322,8.09E-05,0.001082282,0.014450735,0.001082322,4
53033003200,h3n2,2019_W02,0.002114721,0.000538906,0.00211468,0.008288915,0.002114721,4
53033003300,h3n2,2019_W02,0.004173622,0.000817761,0.004173524,0.021272028,0.004173622,5
53033003400,h3n2,2019_W02,0.005983398,0.000383747,0.005983163,0.093079734,0.005983398,5
53033003500,h3n2,2019_W02,0.000859126,5.50E-05,0.000859092,0.01338798,0.000859126,4
53033003600,h3n2,2019_W02,0.005766067,0.000643342,0.005765886,0.051584895,0.005766067,5
53033003800,h3n2,2019_W02,0.002637164,0.000320245,0.002637084,0.021678446,0.002637164,4
53033003900,h3n2,2019_W02,0.002005521,0.000169452,0.00200545,0.023687065,0.002005521,4
53033004000,h3n2,2019_W02,0.002864682,0.000394303,0.0028646,0.020778024,0.002864682,5
53033004100,h3n2,2019_W02,0.003571587,0.000690846,0.003571503,0.01843936,0.003571587,5
53033004200,h3n2,2019_W02,0.002250975,0.000198295,0.002250896,0.025500466,0.002250975,4
53033004301,h3n2,2019_W02,0.003369712,0.000565054,0.003369626,0.020065414,0.003369712,5
53033004302,h3n2,2019_W02,0.005706431,0.001219375,0.005706305,0.026670582,0.005706431,5
53033004400,h3n2,2019_W02,0.000318913,1.03E-05,0.000318898,0.009835067,0.000318913,3
53033004500,h3n2,2019_W02,3.71E-07,9.50E-53,3.71E-07,1.33E+39,3.71E-07,1
53033004600,h3n2,2019_W02,0.003397636,0.000694855,0.003397559,0.016591451,0.003397636,5
53033004700,h3n2,2019_W02,0.001014417,0.000188418,0.001014393,0.005453813,0.001014417,4
53033004800,h3n2,2019_W02,0.001713133,0.00020946,0.001713081,0.013986841,0.001713133,4
53033004900,h3n2,2019_W02,0.001830001,0.000270797,0.001829951,0.012347149,0.001830001,4
53033005000,h3n2,2019_W02,0.00234712,0.000782059,0.002347083,0.007037727,0.00234712,4
53033005100,h3n2,2019_W02,0.003613531,0.000674099,0.003613444,0.019343341,0.003613531,5
53033005200,h3n2,2019_W02,0.00077241,4.69E-05,0.000772379,0.012689777,0.00077241,3
53033005301,h3n2,2019_W02,0.002119267,0.000292992,0.002119207,0.015303781,0.002119267,4
53033005302,h3n2,2019_W02,0.001383305,0.000148575,0.001383261,0.012855285,0.001383305,4
53033005400,h3n2,2019_W02,0.002938587,0.000673035,0.002938525,0.012814602,0.002938587,5
53033005600,h3n2,2019_W02,6.71E-07,2.02E-55,6.70E-07,2.03E+42,6.71E-07,1
53033005700,h3n2,2019_W02,0.00212012,0.000212615,0.00212005,0.021100553,0.00212012,4
53033005801,h3n2,2019_W02,0.00295075,0.0008664,0.002950699,0.010039281,0.00295075,5
53033005802,h3n2,2019_W02,0.001191033,7.18E-05,0.001190985,0.019715912,0.001191033,4
53033005900,h3n2,2019_W02,0.003401168,0.000645907,0.003401087,0.017884797,0.003401168,5
53033006000,h3n2,2019_W02,0.000737648,1.58E-05,0.000737607,0.034324435,0.000737648,3
53033006100,h3n2,2019_W02,0.001981899,0.000238275,0.001981839,0.01645569,0.001981899,4
53033006200,h3n2,2019_W02,0.000321548,5.89E-06,0.00032153,0.017498847,0.000321548,3
53033006300,h3n2,2019_W02,0.001861343,0.00018544,0.001861282,0.018647172,0.001861343,4
53033006400,h3n2,2019_W02,0.004523659,0.000504857,0.004523517,0.040459169,0.004523659,5
53033006500,h3n2,2019_W02,0.004189066,0.000884557,0.004188973,0.019812756,0.004189066,5
53033006600,h3n2,2019_W02,0.001612381,0.000134322,0.001612324,0.019314681,0.001612381,4
53033006700,h3n2,2019_W02,0.00471035,0.000857662,0.004710235,0.025832873,0.00471035,5
53033006800,h3n2,2019_W02,0.003572933,0.000943634,0.003572865,0.01351336,0.003572933,5
53033006900,h3n2,2019_W02,0.001761493,0.000170986,0.001761434,0.018111559,0.001761493,4
53033007000,h3n2,2019_W02,0.001515623,5.01E-05,0.001515549,0.045765535,0.001515623,4
53033007100,h3n2,2019_W02,0.002647579,0.000200291,0.002647481,0.034922066,0.002647579,4
53033007200,h3n2,2019_W02,0.000711048,4.80E-05,0.000711021,0.010503926,0.000711048,3
53033007300,h3n2,2019_W02,0.003712909,0.000775051,0.003712825,0.017763566,0.003712909,5
53033007401,h3n2,2019_W02,5.51E-07,3.13E-54,5.50E-07,8.85E+40,5.51E-07,1
53033007402,h3n2,2019_W02,0.001181276,3.47E-05,0.001181216,0.040102598,0.001181276,4
53033007500,h3n2,2019_W02,0.002008867,0.000198749,0.0020088,0.020265564,0.002008867,4
53033007600,h3n2,2019_W02,0.000474392,1.21E-05,0.000474367,0.018553013,0.000474392,3
53033007700,h3n2,2019_W02,0.000290853,5.36E-06,0.000290836,0.015729213,0.000290853,3
53033007800,h3n2,2019_W02,0.000527173,1.17E-05,0.000527144,0.023598765,0.000527173,3
53033007900,h3n2,2019_W02,0.002111325,0.000648449,0.002111289,0.006867622,0.002111325,4
53033008001,h3n2,2019_W02,0.003718657,0.000931067,0.003718584,0.014835064,0.003718657,5
53033008002,h3n2,2019_W02,0.003196815,0.000758854,0.003196749,0.013451026,0.003196815,5
53033008100,h3n2,2019_W02,0.001850936,0.000387685,0.001850894,0.008825466,0.001850936,4
53033008200,h3n2,2019_W02,0.002220468,9.38E-05,0.002220367,0.052401142,0.002220468,4
53033008300,h3n2,2019_W02,4.62E-07,1.69E-53,4.61E-07,1.15E+40,4.62E-07,1
53033008400,h3n2,2019_W02,0.0026003,0.000258084,0.002600214,0.026148641,0.0026003,4
53033008500,h3n2,2019_W02,0.000931483,6.37E-05,0.000931447,0.013587779,0.000931483,4
53033008600,h3n2,2019_W02,0.000985812,8.57E-05,0.000985777,0.011321058,0.000985812,4
53033008700,h3n2,2019_W02,0.002664689,0.000589346,0.002664631,0.012033053,0.002664689,4
53033008800,h3n2,2019_W02,0.000622999,2.10E-05,0.000622968,0.018442869,0.000622999,3
53033008900,h3n2,2019_W02,0.001701802,0.000207419,0.001701751,0.013938212,0.001701802,4
53033009000,h3n2,2019_W02,0.003306373,0.000995128,0.003306316,0.010974625,0.003306373,5
53033009100,h3n2,2019_W02,0.004158694,0.001580912,0.004158636,0.010930894,0.004158694,5
