PUMA5CE,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
11601,h3n2,2019_W02,0.003107321,0.001070372,0.003114117,0.008903973,0.003128077,2
11602,h3n2,2019_W02,0.004044804,0.001410722,0.004052574,0.011463954,0.004068516,2
11603,h3n2,2019_W02,0.003334623,0.001161967,0.003341952,0.009445513,0.00335701,2
11604,h3n2,2019_W02,0.002143958,0.000700211,0.002148292,0.006485169,0.002157197,2
11605,h3n2,2019_W02,0.00150757,0.00046522,0.001510671,0.004825141,0.001517054,2
11606,h3n2,2019_W02,0.002791959,0.000419751,0.002794943,0.01842913,0.002801202,2
11607,h3n2,2019_W02,0.002843855,0.00042252,0.002846743,0.019000599,0.002852812,2
11608,h3n2,2019_W02,0.003240407,0.000308907,0.003243074,0.033764186,0.003248788,2
11609,h3n2,2019_W02,0.000426027,6.26E-05,0.000426479,0.002875254,0.000427426,1
11610,h3n2,2019_W02,0.00375869,0.000644401,0.003762899,0.021753305,0.003771695,2
11611,h3n2,2019_W02,0.000531725,7.11E-05,0.000532244,0.003947325,0.00053334,1
11612,h3n2,2019_W02,0.004966907,0.00081507,0.004972256,0.03003796,0.004983454,2
11613,h3n2,2019_W02,0.007090147,0.000946525,0.007095876,0.052775475,0.007108058,2
11614,h3n2,2019_W02,0.012746711,0.001851182,0.012755037,0.087298403,0.012772892,3
11615,h3n2,2019_W02,0.001137034,0.000120192,0.001138056,0.010681181,0.001140232,1
11616,h3n2,2019_W02,0.000853475,7.72E-05,0.000854173,0.009367647,0.00085567,1
11601,h3n2,2019_W03,0.005296059,0.002057083,0.005302777,0.01352826,0.005316634,2
11602,h3n2,2019_W03,0.006559893,0.002559832,0.00656693,0.016696949,0.006581452,2
11603,h3n2,2019_W03,0.005670083,0.002223012,0.005677248,0.014349632,0.005692028,2
11604,h3n2,2019_W03,0.00364841,0.001345688,0.003652706,0.009818537,0.003661578,2
11605,h3n2,2019_W03,0.002713178,0.000951538,0.00271649,0.007677012,0.002723342,2
11606,h3n2,2019_W03,0.004607523,0.000831997,0.004610876,0.025373729,0.00461799,2
11607,h3n2,2019_W03,0.004503473,0.00081105,0.004506639,0.024870038,0.004513364,2
11608,h3n2,2019_W03,0.004992718,0.000599388,0.004995681,0.041370885,0.005002118,2
11609,h3n2,2019_W03,0.000847037,0.000145793,0.000847602,0.004895214,0.000848806,1
11610,h3n2,2019_W03,0.006118266,0.001248674,0.006122859,0.029810757,0.006132557,2
11611,h3n2,2019_W03,0.001011951,0.000160224,0.001012585,0.006358493,0.001013946,1
11612,h3n2,2019_W03,0.007992707,0.001568681,0.007998526,0.04050013,0.008010842,3
