GEOID,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
53033000100,otherili,2018_W45,0.001166908,0.000650648,0.001166898,0.002091776,0.001166908,2
53033000200,otherili,2018_W45,0.000689851,0.000374673,0.000689845,0.001269512,0.000689851,2
53033000300,otherili,2018_W45,0.001304004,0.000476913,0.001303985,0.003562491,0.001304004,3
53033000401,otherili,2018_W45,0.000677748,0.000219806,0.000677737,0.002087801,0.000677748,2
53033000402,otherili,2018_W45,0.000403547,0.000118493,0.00040354,0.001372947,0.000403547,2
53033000500,otherili,2018_W45,0.000852232,0.000253513,0.000852217,0.002862037,0.000852232,2
53033000600,otherili,2018_W45,0.000531279,0.000190456,0.000531272,0.001480743,0.000531279,2
53033000700,otherili,2018_W45,0.000740452,0.000391043,0.000740445,0.001401321,0.000740452,2
53033000800,otherili,2018_W45,0.001423118,0.000786263,0.001423106,0.002574534,0.001423118,3
53033000900,otherili,2018_W45,0.001124528,0.000626511,0.001124518,0.002017435,0.001124528,2
53033001000,otherili,2018_W45,0.000831688,0.000436755,0.000831681,0.001582885,0.000831688,2
53033001100,otherili,2018_W45,0.0013187,0.000721821,0.001318688,0.002407928,0.0013187,3
53033001200,otherili,2018_W45,0.000609338,0.000317798,0.000609332,0.001167694,0.000609338,2
53033001300,otherili,2018_W45,0.000563136,0.000203827,0.000563128,0.00155452,0.000563136,2
53033001400,otherili,2018_W45,0.001255564,0.000527704,0.001255549,0.002985202,0.001255564,3
53033001500,otherili,2018_W45,0.000467995,0.000161823,0.000467988,0.001352253,0.000467995,2
53033001600,otherili,2018_W45,0.000786483,0.000325628,0.000786473,0.001898182,0.000786483,2
53033001701,otherili,2018_W45,0.000555449,0.000174367,0.00055544,0.001767676,0.000555449,2
53033001702,otherili,2018_W45,0.000910118,0.000319174,0.000910105,0.002592918,0.000910118,2
53033001800,otherili,2018_W45,0.000554344,0.000201977,0.000554336,0.00152017,0.000554344,2
53033001900,otherili,2018_W45,0.000871585,0.000477198,0.000871578,0.001591119,0.000871585,2
53033002000,otherili,2018_W45,0.000760896,0.000453566,0.00076089,0.001275917,0.000760896,2
53033002100,otherili,2018_W45,0.000138488,5.53E-05,0.000138486,0.000346283,0.000138488,1
53033002200,otherili,2018_W45,0.000266173,0.000109976,0.00026617,0.000643743,0.000266173,2
53033002400,otherili,2018_W45,0.000583849,0.000232237,0.000583841,0.001466681,0.000583849,2
53033002500,otherili,2018_W45,0.000368151,0.00015129,0.000368147,0.000895199,0.000368151,2
53033002600,otherili,2018_W45,0.000188806,8.18E-05,0.000188803,0.000435611,0.000188806,1
53033002700,otherili,2018_W45,0.000271533,9.00E-05,0.000271529,0.000818631,0.000271533,2
53033002800,otherili,2018_W45,0.000376414,0.000134599,0.000376409,0.001051762,0.000376414,2
53033002900,otherili,2018_W45,0.000299031,8.86E-05,0.000299026,0.00100863,0.000299031,2
53033003000,otherili,2018_W45,0.00045711,0.000191245,0.000457104,0.001091782,0.00045711,2
53033003100,otherili,2018_W45,0.000703403,0.000322407,0.000703395,0.001533633,0.000703403,2
53033003200,otherili,2018_W45,0.000507914,0.000262149,0.00050791,0.000983541,0.000507914,2
53033003300,otherili,2018_W45,0.000470811,0.00020338,0.000470805,0.001089134,0.000470811,2
53033003400,otherili,2018_W45,0.000322845,0.000105814,0.00032284,0.000984103,0.000322845,2
53033003500,otherili,2018_W45,0.000555057,0.00024414,0.00055505,0.001261069,0.000555057,2
53033003600,otherili,2018_W45,0.000246368,7.54E-05,0.000246364,0.000804081,0.000246368,2
53033003800,otherili,2018_W45,0.000419934,0.000157856,0.000419928,0.001116206,0.000419934,2
53033003900,otherili,2018_W45,0.000466778,0.000189031,0.000466772,0.001151753,0.000466778,2
53033004000,otherili,2018_W45,0.000195483,7.64E-05,0.000195481,0.000500098,0.000195483,1
53033004100,otherili,2018_W45,0.000481282,0.000200024,0.000481276,0.001157175,0.000481282,2
53033004200,otherili,2018_W45,0.000425057,0.000161457,0.000425051,0.001118115,0.000425057,2
53033004301,otherili,2018_W45,0.000506259,0.000207782,0.000506253,0.001232582,0.000506259,2
53033004302,otherili,2018_W45,0.000121148,3.76E-05,0.000121146,0.000389469,0.000121148,1
53033004400,otherili,2018_W45,0.000178962,6.44E-05,0.000178959,0.000496965,0.000178962,1
53033004500,otherili,2018_W45,0.001021868,0.000465976,0.001021857,0.002239452,0.001021868,2
53033004600,otherili,2018_W45,0.000220084,8.97E-05,0.000220081,0.000539336,0.000220084,2
53033004700,otherili,2018_W45,0.000445313,0.000231425,0.000445308,0.000856413,0.000445313,2
53033004800,otherili,2018_W45,0.000777883,0.000374065,0.000777875,0.001616649,0.000777883,2
53033004900,otherili,2018_W45,0.000436501,0.000208867,0.000436496,0.000911659,0.000436501,2
53033005000,otherili,2018_W45,0.00075467,0.00044481,0.000754665,0.001279819,0.00075467,2
53033005100,otherili,2018_W45,0.000762723,0.000385693,0.000762716,0.001507457,0.000762723,2
53033005200,otherili,2018_W45,0.000998622,0.000475142,0.000998612,0.002097537,0.000998622,2
53033005301,otherili,2018_W45,0.000441405,0.000172606,0.000441399,0.001127921,0.000441405,2
53033005302,otherili,2018_W45,0.000352774,0.000151103,0.000352769,0.00082302,0.000352774,2
53033005400,otherili,2018_W45,0.000640878,0.000326926,0.000640872,0.001255616,0.000640878,2
53033005600,otherili,2018_W45,0.000353698,9.47E-05,0.000353692,0.001320084,0.000353698,2
53033005700,otherili,2018_W45,0.000483496,0.000161106,0.000483489,0.001449695,0.000483496,2
53033005801,otherili,2018_W45,0.000433869,0.000235112,0.000433865,0.000800239,0.000433869,2
53033005802,otherili,2018_W45,0.000275779,9.68E-05,0.000275775,0.000784683,0.000275779,2
53033005900,otherili,2018_W45,0.00050682,0.000189999,0.000506813,0.001350832,0.00050682,2
53033006000,otherili,2018_W45,0.000397911,0.000128908,0.000397904,0.001227106,0.000397911,2
53033006100,otherili,2018_W45,0.000185928,6.77E-05,0.000185925,0.000510064,0.000185928,1
53033006200,otherili,2018_W45,0.000381059,0.000165545,0.000381054,0.000876531,0.000381059,2
53033006300,otherili,2018_W45,0.000486459,0.000184036,0.000486453,0.001284806,0.000486459,2
53033006400,otherili,2018_W45,0.000519449,0.00018709,0.000519441,0.001441006,0.000519449,2
53033006500,otherili,2018_W45,0.000258102,0.000103177,0.000258099,0.000645164,0.000258102,2
53033006600,otherili,2018_W45,0.001095831,0.000514116,0.001095819,0.002334272,0.001095831,2
53033006700,otherili,2018_W45,0.000166708,5.27E-05,0.000166705,0.000527108,0.000166708,1
53033006800,otherili,2018_W45,0.000571763,0.000293285,0.000571758,0.001114039,0.000571763,2
53033006900,otherili,2018_W45,0.000271871,9.15E-05,0.000271866,0.000807465,0.000271871,2
53033007000,otherili,2018_W45,0.000257349,7.76E-05,0.000257345,0.000852956,0.000257349,2
53033007100,otherili,2018_W45,0.000271227,6.28E-05,0.000271222,0.001170627,0.000271227,2
53033007200,otherili,2018_W45,0.000328377,0.000151419,0.000328373,0.00071168,0.000328377,2
53033007300,otherili,2018_W45,0.000193375,7.89E-05,0.000193372,0.000473755,0.000193375,1
53033007401,otherili,2018_W45,0.000603084,0.000203837,0.000603074,0.001782701,0.000603084,2
53033007402,otherili,2018_W45,0.000652685,0.000232561,0.000652675,0.001830193,0.000652685,2
53033007500,otherili,2018_W45,0.000431971,0.000192619,0.000431966,0.00096809,0.000431971,2
53033007600,otherili,2018_W45,0.000818742,0.00039463,0.000818733,0.001697614,0.000818742,2
53033007700,otherili,2018_W45,0.000490016,0.000235643,0.000490011,0.001018362,0.000490016,2
53033007800,otherili,2018_W45,0.000528804,0.000230926,0.000528798,0.001210087,0.000528804,2
53033007900,otherili,2018_W45,0.000913684,0.000544163,0.000913677,0.00153347,0.000913684,2
53033008001,otherili,2018_W45,0.001390066,0.000766384,0.001390054,0.002520047,0.001390066,3
53033008002,otherili,2018_W45,0.00049252,0.000254948,0.000492515,0.000950948,0.00049252,2
53033008100,otherili,2018_W45,0.000347388,0.000184447,0.000347385,0.000653924,0.000347388,2
53033008200,otherili,2018_W45,0.000435144,0.000144335,0.000435137,0.001310672,0.000435144,2
53033008300,otherili,2018_W45,0.000310719,0.000113323,0.000310714,0.000851238,0.000310719,2
53033008400,otherili,2018_W45,0.000384718,0.000161243,0.000384713,0.00091725,0.000384718,2
53033008500,otherili,2018_W45,0.000193832,7.55E-05,0.000193829,0.000497292,0.000193832,1
53033008600,otherili,2018_W45,0.000391971,0.000191907,0.000391967,0.000800127,0.000391971,2
53033008700,otherili,2018_W45,0.000755702,0.000383654,0.000755695,0.001487702,0.000755702,2
53033008800,otherili,2018_W45,0.000757226,0.000387791,0.000757219,0.001477783,0.000757226,2
53033008900,otherili,2018_W45,0.000259424,0.000114224,0.000259421,0.0005888,0.000259424,2
53033009000,otherili,2018_W45,0.000776167,0.000430148,0.000776161,0.001399842,0.000776167,2
53033009100,otherili,2018_W45,0.000365757,0.000209706,0.000365754,0.000637636,0.000365757,2
53033009200,otherili,2018_W45,0.000248515,0.000122906,0.000248513,0.0005022,0.000248515,2
53033009300,otherili,2018_W45,0.000530084,0.000236238,0.000530078,0.001188631,0.000530084,2
53033009400,otherili,2018_W45,0.000143603,5.83E-05,0.000143601,0.000353731,0.000143603,1
53033009500,otherili,2018_W45,0.000158944,6.49E-05,0.000158942,0.000389245,0.000158944,1
53033009600,otherili,2018_W45,0.00015645,4.87E-05,0.000156447,0.000501821,0.00015645,1
53033009701,otherili,2018_W45,0.000309988,9.06E-05,0.000309982,0.001059355,0.000309988,2
53033009702,otherili,2018_W45,0.000367159,0.000129335,0.000367154,0.001041397,0.000367159,2
53033009800,otherili,2018_W45,0.000482425,0.000131663,0.000482416,0.001765737,0.000482425,2
53033009900,otherili,2018_W45,0.000336558,0.000132682,0.000336554,0.000853042,0.000336558,2
53033010001,otherili,2018_W45,0.000386965,0.000158358,0.00038696,0.000944888,0.000386965,2
53033010002,otherili,2018_W45,0.000353139,0.000133677,0.000353134,0.00093214,0.000353139,2
53033010100,otherili,2018_W45,0.000666488,0.000318629,0.00066648,0.001393256,0.000666488,2
53033010200,otherili,2018_W45,0.00057963,0.000236722,0.000579622,0.001418202,0.00057963,2
53033010300,otherili,2018_W45,0.001231253,0.000559833,0.001231239,0.00270614,0.001231253,3
53033010401,otherili,2018_W45,0.000692319,0.000293307,0.000692311,0.001632972,0.000692319,2
53033010402,otherili,2018_W45,0.000846336,0.000350341,0.000846325,0.002043029,0.000846336,2
53033010500,otherili,2018_W45,0.000317992,0.000104903,0.000317986,0.000963036,0.000317992,2
53033010600,otherili,2018_W45,0.000144668,4.74E-05,0.000144665,0.000440731,0.000144668,1
53033010701,otherili,2018_W45,0.000661719,0.000243094,0.00066171,0.001799744,0.000661719,2
53033010702,otherili,2018_W45,0.000543238,0.000224279,0.000543231,0.001314834,0.000543238,2
53033010800,otherili,2018_W45,0.000551221,0.000175002,0.000551212,0.001734576,0.000551221,2
53033010900,otherili,2018_W45,0.001208593,0.000515581,0.001208578,0.002831093,0.001208593,2
53033011001,otherili,2018_W45,0.000981598,0.000380205,0.000981584,0.002532244,0.000981598,2
53033011002,otherili,2018_W45,0.000279364,7.90E-05,0.000279358,0.000987091,0.000279364,2
53033011101,otherili,2018_W45,0.00144286,0.000670107,0.001442844,0.003104746,0.00144286,3
53033011102,otherili,2018_W45,0.000841278,0.000386684,0.000841268,0.001829113,0.000841278,2
53033011200,otherili,2018_W45,0.000972509,0.000365781,0.000972495,0.00258352,0.000972509,2
53033011300,otherili,2018_W45,0.001354886,0.000459777,0.001354865,0.003989021,0.001354886,3
53033011401,otherili,2018_W45,0.000173369,4.90E-05,0.000173366,0.000612196,0.000173369,1
53033011402,otherili,2018_W45,0.000259169,8.27E-05,0.000259165,0.000810957,0.000259169,2
53033011500,otherili,2018_W45,0.001817614,0.000584182,0.001817584,0.005649933,0.001817614,3
53033011600,otherili,2018_W45,0.000930282,0.000334885,0.000930269,0.002582041,0.000930282,2
53033011700,otherili,2018_W45,0.000675578,0.00026229,0.000675569,0.001738703,0.000675578,2
53033011800,otherili,2018_W45,0.002073416,0.001019431,0.002073395,0.004214613,0.002073416,3
53033011900,otherili,2018_W45,0.00128128,0.000575704,0.001281266,0.002849701,0.00128128,3
53033012000,otherili,2018_W45,0.000766576,0.000258201,0.000766564,0.002273833,0.000766576,2
53033012100,otherili,2018_W45,0.000450422,0.000170027,0.000450416,0.001192257,0.000450422,2
53033020100,otherili,2018_W45,0.000849142,0.00017463,0.000849122,0.004123513,0.000849142,2
53033020200,otherili,2018_W45,0.000701846,0.000105179,0.000701827,0.004675903,0.000701846,2
53033020300,otherili,2018_W45,0.001748004,7.48E-05,0.001747925,0.040719333,0.001748004,3
53033020401,otherili,2018_W45,0.000390845,6.53E-05,0.000390835,0.002336632,0.000390845,2
53033020402,otherili,2018_W45,0.000163055,5.92E-06,0.000163047,0.004477558,0.000163055,1
53033020500,otherili,2018_W45,0.000431639,4.38E-05,0.000431625,0.004243426,0.000431639,2
53033020600,otherili,2018_W45,0.001852465,0.000136358,0.001852396,0.025111566,0.001852465,3
53033020700,otherili,2018_W45,6.41E-05,3.80E-06,6.41E-05,0.001078795,6.41E-05,1
53033020800,otherili,2018_W45,0.001404966,0.000104796,0.001404913,0.018795215,0.001404966,3
53033020900,otherili,2018_W45,0.000167489,1.80E-05,0.000167483,0.001554606,0.000167489,1
53033021000,otherili,2018_W45,4.93E-05,2.92E-06,4.93E-05,0.000829319,4.93E-05,1
53033021100,otherili,2018_W45,5.76E-05,6.45E-06,5.76E-05,0.000513107,5.76E-05,1
53033021300,otherili,2018_W45,3.91E-06,8.57E-09,3.90E-06,0.001769936,3.91E-06,1
53033021400,otherili,2018_W45,0.000238592,2.33E-05,0.000238584,0.002438638,0.000238592,2
53033021500,otherili,2018_W45,8.38E-05,2.74E-06,8.38E-05,0.002561168,8.38E-05,1
53033021600,otherili,2018_W45,4.64E-05,3.63E-06,4.64E-05,0.000592182,4.64E-05,1
53033021700,otherili,2018_W45,0.000633287,9.56E-06,0.000633249,0.041819322,0.000633287,2
53033021802,otherili,2018_W45,6.40E-05,3.36E-06,6.40E-05,0.001215698,6.40E-05,1
53033021803,otherili,2018_W45,0.00040323,5.35E-05,0.000403219,0.003034759,0.00040323,2
53033021804,otherili,2018_W45,0.001223703,0.000268425,0.001223676,0.005571586,0.001223703,2
53033021903,otherili,2018_W45,0.000248638,2.89E-05,0.000248631,0.002138577,0.000248638,2
53033021904,otherili,2018_W45,7.19E-05,8.02E-06,7.19E-05,0.000642985,7.19E-05,1
53033021905,otherili,2018_W45,0.00021894,2.64E-05,0.000218933,0.001812929,0.00021894,2
53033021906,otherili,2018_W45,3.71E-05,2.69E-06,3.71E-05,0.000508845,3.71E-05,1
53033022001,otherili,2018_W45,0.00052849,9.48E-05,0.000528477,0.002941145,0.00052849,2
53033022003,otherili,2018_W45,0.000124037,1.13E-05,0.000124032,0.001354071,0.000124037,1
53033022005,otherili,2018_W45,0.000107442,4.25E-06,0.000107437,0.002708917,0.000107442,1
53033022006,otherili,2018_W45,0.000241819,1.01E-05,0.000241808,0.005767638,0.000241819,2
53033022101,otherili,2018_W45,0.00015907,2.25E-05,0.000159065,0.001123688,0.00015907,1
53033022102,otherili,2018_W45,2.23E-05,1.51E-06,2.23E-05,0.000327791,2.23E-05,1
53033022201,otherili,2018_W45,0.000992134,0.000107757,0.000992102,0.0091178,0.000992134,2
53033022202,otherili,2018_W45,1.40E-05,5.84E-07,1.40E-05,0.000333805,1.40E-05,1
53033022203,otherili,2018_W45,0.000356751,0.000102471,0.000356744,0.001240722,0.000356751,2
53033022300,otherili,2018_W45,0.000430928,8.65E-05,0.000430918,0.002144797,0.000430928,2
53033022400,otherili,2018_W45,0.000322734,4.34E-05,0.000322724,0.002397597,0.000322734,2
53033022500,otherili,2018_W45,0.000420613,1.76E-05,0.000420594,0.010033502,0.000420613,2
53033022603,otherili,2018_W45,7.01E-05,2.42E-06,7.01E-05,0.002022987,7.01E-05,1
53033022604,otherili,2018_W45,0.000152435,1.53E-05,0.00015243,0.001517041,0.000152435,1
53033022605,otherili,2018_W45,0.000160633,9.44E-06,0.000160626,0.002727039,0.000160633,1
53033022606,otherili,2018_W45,1.06E-05,1.78E-07,1.06E-05,0.00062672,1.06E-05,1
53033022701,otherili,2018_W45,0.00021839,3.15E-05,0.000218384,0.001513009,0.00021839,2
53033022702,otherili,2018_W45,8.43E-32,8.31E-107,8.41E-32,7.40E+43,8.43E-32,1
53033022703,otherili,2018_W45,4.95E-09,1.33E-12,4.95E-09,1.82E-05,4.95E-09,1
53033022801,otherili,2018_W45,0.000908171,0.000140414,0.000908147,0.00586474,0.000908171,2
53033022802,otherili,2018_W45,0.000644885,0.000126892,0.00064487,0.003272971,0.000644885,2
