PUMA5CE,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
11601,otherili,2018_W45,0.017509298,0.011267201,0.017510687,0.027186569,0.017513804,2
11602,otherili,2018_W45,0.019602445,0.012618972,0.019603338,0.030430634,0.019605506,2
11603,otherili,2018_W45,0.012842471,0.008227598,0.01284293,0.020033669,0.012844104,2
11604,otherili,2018_W45,0.018370941,0.011845762,0.018371961,0.028470225,0.018374359,2
11605,otherili,2018_W45,0.013694357,0.008747708,0.013695323,0.021421025,0.013697521,2
11606,otherili,2018_W45,0.006883641,0.003786986,0.006883833,0.012503681,0.006884396,1
11607,otherili,2018_W45,0.004339054,0.00240295,0.004339147,0.007829946,0.004339445,1
11608,otherili,2018_W45,0.016592102,0.009470534,0.016592468,0.029050393,0.01659361,2
11609,otherili,2018_W45,0.007915256,0.004363798,0.007915517,0.014346606,0.007916243,1
11610,otherili,2018_W45,0.008601339,0.004904927,0.008601598,0.01507313,0.008602327,1
11611,otherili,2018_W45,0.019081835,0.011172244,0.019082433,0.032569509,0.019084079,2
11612,otherili,2018_W45,0.008801264,0.004734833,0.008801423,0.016349162,0.008801979,1
11613,otherili,2018_W45,0.01830714,0.010148775,0.0183075,0.033002398,0.018308691,2
11614,otherili,2018_W45,0.009114767,0.004813138,0.009114924,0.017249148,0.00911549,1
11615,otherili,2018_W45,0.010081593,0.00555505,0.010081812,0.018284411,0.010082513,2
11616,otherili,2018_W45,0.015717481,0.008539417,0.015717931,0.028908537,0.015719248,2
11601,otherili,2018_W46,0.025930142,0.018608719,0.025930366,0.03611934,0.025931156,2
11602,otherili,2018_W46,0.029114091,0.020884743,0.029113193,0.04058069,0.029111813,2
11603,otherili,2018_W46,0.019245179,0.013732977,0.019244402,0.026967592,0.019243136,2
11604,otherili,2018_W46,0.027292083,0.019634984,0.027291522,0.03792811,0.027290779,2
11605,otherili,2018_W46,0.020465777,0.01457512,0.020465796,0.028728067,0.020466112,2
11606,otherili,2018_W46,0.010222524,0.006174764,0.010222412,0.016916936,0.01022241,2
11607,otherili,2018_W46,0.006521175,0.003966305,0.006521058,0.010717938,0.006520963,1
