CRA_NAME,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
Alki/Admiral,rsva,2018_W48,2.17E-08,1.21E-15,2.26E-08,0.304194291,2.45E-08,1
Arbor Heights,rsva,2018_W48,7.46E-07,2.94E-12,7.71E-07,0.154758591,8.24E-07,1
Ballard,rsva,2018_W48,0.000303073,1.54E-06,0.000304385,0.057885905,0.000307069,2
Beacon Hill,rsva,2018_W48,4.50E-07,4.04E-14,4.66E-07,4.026497008,5.01E-07,1
Belltown,rsva,2018_W48,1.02E-05,1.59E-09,1.07E-05,0.050252064,1.17E-05,2
Broadview/Bitter Lake,rsva,2018_W48,0.001077785,1.07E-05,0.001101772,0.096000988,0.001150948,3
Capitol Hill,rsva,2018_W48,6.14E-05,2.67E-08,6.12E-05,0.142334999,6.09E-05,2
Cascade/Eastlake,rsva,2018_W48,3.25E-06,1.00E-09,3.44E-06,0.007672974,3.85E-06,1
Cedar Park/Meadowbrook,rsva,2018_W48,0.004917113,0.000558613,0.00491657,0.043219866,0.004915984,4
Central Area/Squire Park,rsva,2018_W48,0.00041762,9.37E-06,0.000424754,0.016878178,0.000439242,3
Columbia City,rsva,2018_W48,0.000106562,7.21E-08,0.000106265,0.158819763,0.000105694,2
Downtown Commercial Core,rsva,2018_W48,4.09E-05,5.95E-08,4.18E-05,0.024766997,4.37E-05,2
Duwamish/SODO,rsva,2018_W48,0.000974772,3.56E-06,0.000978665,0.259653058,0.000986599,3
Fauntleroy/Seaview,rsva,2018_W48,0.016915081,0.00161288,0.01691676,0.17690963,0.016921746,4
First Hill,rsva,2018_W48,9.51E-05,4.05E-07,9.69E-05,0.020060444,0.000100527,2
Fremont,rsva,2018_W48,0.002596936,9.73E-05,0.002596583,0.069163715,0.002596231,3
Georgetown,rsva,2018_W48,6.55E-08,5.43E-16,6.73E-08,6.645839147,7.11E-08,1
Green Lake,rsva,2018_W48,0.002838014,4.24E-05,0.002837844,0.189299253,0.002837985,3
Greenwood/Phinney Ridge,rsva,2018_W48,8.01E-06,1.26E-09,8.13E-06,0.046583627,8.38E-06,2
Haller Lake,rsva,2018_W48,2.35E-06,1.17E-12,2.43E-06,3.85084726,2.60E-06,1
High Point,rsva,2018_W48,0.001331567,8.60E-06,0.001334134,0.202932838,0.001339463,3
Highland Park,rsva,2018_W48,1.38E-08,1.25E-60,1.39E-08,1.34E+44,1.41E-08,1
Interbay,rsva,2018_W48,0.000160105,8.16E-07,0.000160291,0.031043713,0.000160699,2
Judkins Park,rsva,2018_W48,0.029162464,0.004205671,0.029152572,0.202234814,0.029135115,5
Laurelhurst/Sand Point,rsva,2018_W48,9.44E-05,1.12E-07,9.45E-05,0.07887017,9.46E-05,2
Licton Springs,rsva,2018_W48,1.40E-08,2.42E-17,1.46E-08,6.16180914,1.60E-08,1
Madison Park,rsva,2018_W48,8.26E-07,2.18E-14,8.44E-07,27.23705724,8.82E-07,1
Madrona/Leschi,rsva,2018_W48,0.001213811,1.08E-05,0.001225226,0.12876142,0.001248118,3
Magnolia,rsva,2018_W48,4.31E-07,1.80E-13,4.43E-07,0.873108714,4.69E-07,1
Miller Park,rsva,2018_W48,3.95E-07,3.10E-13,4.10E-07,0.40574241,4.40E-07,1
Montlake/Portage Bay,rsva,2018_W48,2.14E-05,7.02E-09,2.19E-05,0.058367495,2.27E-05,2
Mt. Baker/North Rainier,rsva,2018_W48,6.74E-07,4.13E-12,7.00E-07,0.088510924,7.53E-07,1
NA,rsva,2018_W48,2.48E-08,3.15E-61,2.49E-08,1.70E+45,2.52E-08,1
North Beach/Blue Ridge,rsva,2018_W48,1.47E-05,7.19E-10,1.53E-05,0.242986655,1.64E-05,2
North Beacon Hill/Jefferson Park,rsva,2018_W48,0.000545736,3.99E-06,0.000557775,0.065876583,0.000582264,3
North Capitol Hill,rsva,2018_W48,1.10E-08,2.10E-60,1.10E-08,4.99E+43,1.12E-08,1
North Delridge,rsva,2018_W48,2.05E-05,5.77E-10,2.09E-05,0.640899359,2.17E-05,2
Northgate/Maple Leaf,rsva,2018_W48,0.003353374,0.000305311,0.003351209,0.03688201,0.003347201,3
Olympic Hills/Victory Heights,rsva,2018_W48,0.000126899,3.31E-07,0.000127705,0.046716373,0.000129325,2
Pioneer Square/International District,rsva,2018_W48,0.002135401,0.000131845,0.002134059,0.03461342,0.002131653,3
Queen Anne,rsva,2018_W48,1.42E-05,1.51E-08,1.45E-05,0.012172409,1.50E-05,2
Rainier Beach,rsva,2018_W48,1.04E-05,8.73E-10,1.07E-05,0.10192171,1.14E-05,2
Ravenna/Bryant,rsva,2018_W48,2.85E-05,2.86E-08,2.87E-05,0.027089494,2.91E-05,2
Riverview,rsva,2018_W48,3.85E-05,8.98E-10,3.86E-05,1.611313278,3.88E-05,2
Roxhill/Westwood,rsva,2018_W48,2.55E-06,5.39E-12,2.58E-06,1.118228532,2.64E-06,1
Seward Park,rsva,2018_W48,1.33E-09,2.26E-18,1.40E-09,0.585842817,1.54E-09,1
South Beacon Hill/NewHolly,rsva,2018_W48,1.69E-07,8.54E-16,1.73E-07,28.70857071,1.82E-07,1
South Park,rsva,2018_W48,1.06E-08,2.25E-60,1.07E-08,4.38E+43,1.09E-08,1
Sunset Hill/Loyal Heights,rsva,2018_W48,3.23E-07,2.02E-11,3.47E-07,0.003516212,3.99E-07,1
University District,rsva,2018_W48,1.73E-06,2.08E-11,1.83E-06,0.104461413,2.04E-06,1
Wallingford,rsva,2018_W48,0.003342346,0.000331347,0.003345539,0.033465784,0.003352291,3
Wedgwood/View Ridge,rsva,2018_W48,0.003462901,0.000257794,0.003483311,0.044914959,0.003524938,3
West Seattle Junction/Genesee Hill,rsva,2018_W48,0.001634996,2.41E-05,0.00164004,0.108529361,0.001650252,3
Whittier Heights,rsva,2018_W48,0.000202271,4.49E-07,0.000201938,0.091354544,0.000201317,2
Alki/Admiral,rsva,2018_W49,6.24E-08,1.55E-14,6.48E-08,0.200863757,6.99E-08,1
Arbor Heights,rsva,2018_W49,1.88E-06,2.80E-11,1.93E-06,0.104961565,2.05E-06,1
Ballard,rsva,2018_W49,0.00053559,6.56E-06,0.000537197,0.042787696,0.000540499,3
Beacon Hill,rsva,2018_W49,1.02E-06,3.93E-13,1.05E-06,2.167592207,1.12E-06,1
Belltown,rsva,2018_W49,2.29E-05,1.13E-08,2.39E-05,0.036704863,2.59E-05,2
Broadview/Bitter Lake,rsva,2018_W49,0.001867068,4.23E-05,0.001899092,0.074660841,0.001964312,3
Capitol Hill,rsva,2018_W49,0.00011212,1.39E-07,0.000111841,0.091223147,0.000111305,2
Cascade/Eastlake,rsva,2018_W49,9.85E-06,9.57E-09,1.04E-05,0.007643295,1.15E-05,2
Cedar Park/Meadowbrook,rsva,2018_W49,0.006284458,0.001142942,0.006284784,0.034490642,0.00628592,4
Central Area/Squire Park,rsva,2018_W49,0.000774747,3.74E-05,0.000784158,0.014979037,0.000803158,3
Columbia City,rsva,2018_W49,0.000169419,3.04E-07,0.000169206,0.094400504,0.000168819,2
Downtown Commercial Core,rsva,2018_W49,9.63E-05,3.91E-07,9.81E-05,0.02125094,0.000102072,2
Duwamish/SODO,rsva,2018_W49,0.001581896,1.40E-05,0.001586126,0.175752317,0.001594813,3
Fauntleroy/Seaview,rsva,2018_W49,0.017867949,0.002683639,0.017867425,0.118778918,0.017867829,4
First Hill,rsva,2018_W49,0.000197492,2.14E-06,0.000200434,0.016728758,0.000206434,2
Fremont,rsva,2018_W49,0.002977882,0.00019935,0.002979731,0.044220938,0.002983809,3
Georgetown,rsva,2018_W49,1.63E-07,6.28E-15,1.67E-07,3.600048452,1.76E-07,1
Green Lake,rsva,2018_W49,0.003605092,0.000107618,0.003608633,0.119727234,0.003616361,3
Greenwood/Phinney Ridge,rsva,2018_W49,1.82E-05,9.00E-09,1.84E-05,0.033864363,1.89E-05,2
Haller Lake,rsva,2018_W49,4.96E-06,9.90E-12,5.12E-06,2.069694524,5.43E-06,1
High Point,rsva,2018_W49,0.00203252,2.98E-05,0.002034727,0.137157807,0.00203944,3
Highland Park,rsva,2018_W49,2.59E-08,1.22E-57,2.60E-08,4.82E+41,2.63E-08,1
Interbay,rsva,2018_W49,0.00029659,3.67E-06,0.000296824,0.023753565,0.000297349,2
Judkins Park,rsva,2018_W49,0.029543356,0.006221608,0.02954247,0.14011043,0.029542673,5
Laurelhurst/Sand Point,rsva,2018_W49,0.000184684,5.97E-07,0.000184732,0.056706602,0.000184869,2
Licton Springs,rsva,2018_W49,3.82E-08,3.23E-16,3.98E-08,3.490920623,4.33E-08,1
Madison Park,rsva,2018_W49,1.73E-06,2.02E-13,1.77E-06,13.11749688,1.84E-06,1
Madrona/Leschi,rsva,2018_W49,0.002021607,4.11E-05,0.002034634,0.095665039,0.002060731,3
Magnolia,rsva,2018_W49,1.05E-06,1.80E-12,1.08E-06,0.528577189,1.14E-06,1
Miller Park,rsva,2018_W49,9.69E-07,3.05E-12,1.00E-06,0.252597889,1.07E-06,1
Montlake/Portage Bay,rsva,2018_W49,4.61E-05,4.56E-08,4.69E-05,0.042300355,4.85E-05,2
Mt. Baker/North Rainier,rsva,2018_W49,1.89E-06,4.35E-11,1.96E-06,0.067642512,2.09E-06,1
NA,rsva,2018_W49,4.60E-08,3.35E-58,4.62E-08,5.57E+42,4.68E-08,1
North Beach/Blue Ridge,rsva,2018_W49,2.93E-05,4.71E-09,3.03E-05,0.150758089,3.23E-05,2
North Beacon Hill/Jefferson Park,rsva,2018_W49,0.001078748,1.90E-05,0.001097142,0.055404492,0.001134306,3
North Capitol Hill,rsva,2018_W49,2.06E-08,1.99E-57,2.07E-08,1.87E+41,2.09E-08,1
North Delridge,rsva,2018_W49,4.24E-05,4.05E-09,4.31E-05,0.398143604,4.47E-05,2
Northgate/Maple Leaf,rsva,2018_W49,0.00353424,0.000518771,0.003534069,0.024041951,0.003534017,3
Olympic Hills/Victory Heights,rsva,2018_W49,0.000225753,1.50E-06,0.000226777,0.032993653,0.000228842,2
Pioneer Square/International District,rsva,2018_W49,0.002928472,0.000321617,0.00292842,0.026612498,0.002928614,3
Queen Anne,rsva,2018_W49,3.20E-05,9.62E-08,3.25E-05,0.009809965,3.34E-05,2
Rainier Beach,rsva,2018_W49,2.24E-05,6.14E-09,2.31E-05,0.069485545,2.44E-05,2
Ravenna/Bryant,rsva,2018_W49,5.40E-05,1.49E-07,5.43E-05,0.018847844,5.49E-05,2
Riverview,rsva,2018_W49,7.37E-05,5.74E-09,7.39E-05,0.92613154,7.42E-05,2
Roxhill/Westwood,rsva,2018_W49,5.64E-06,4.53E-11,5.70E-06,0.655927782,5.81E-06,1
Seward Park,rsva,2018_W49,4.07E-09,3.41E-17,4.26E-09,0.370474582,4.67E-09,1
South Beacon Hill/NewHolly,rsva,2018_W49,3.82E-07,9.02E-15,3.91E-07,13.99769813,4.08E-07,1
South Park,rsva,2018_W49,1.99E-08,2.12E-57,2.00E-08,1.65E+41,2.03E-08,1
Sunset Hill/Loyal Heights,rsva,2018_W49,1.05E-06,2.25E-10,1.12E-06,0.003463587,1.27E-06,1
University District,rsva,2018_W49,4.00E-06,1.73E-10,4.20E-06,0.069389693,4.64E-06,1
Wallingford,rsva,2018_W49,0.003355591,0.000517125,0.003359875,0.021583508,0.003368749,3
Wedgwood/View Ridge,rsva,2018_W49,0.005434627,0.00072008,0.005453636,0.040153158,0.005492384,4
West Seattle Junction/Genesee Hill,rsva,2018_W49,0.002463717,7.68E-05,0.002467673,0.078017236,0.002475826,3
Whittier Heights,rsva,2018_W49,0.000319268,1.75E-06,0.000318919,0.058200168,0.000318282,2
Alki/Admiral,rsva,2018_W50,1.79E-07,1.87E-13,1.85E-07,0.138968401,1.98E-07,1
Arbor Heights,rsva,2018_W50,4.69E-06,2.50E-10,4.82E-06,0.075176199,5.08E-06,1
Ballard,rsva,2018_W50,0.000940046,2.51E-05,0.000941814,0.034745076,0.000945487,3
Beacon Hill,rsva,2018_W50,2.30E-06,3.59E-12,2.37E-06,1.225345422,2.51E-06,1
Belltown,rsva,2018_W50,5.12E-05,7.48E-08,5.31E-05,0.028672947,5.70E-05,2
Broadview/Bitter Lake,rsva,2018_W50,0.003210985,0.000149306,0.00325029,0.064366562,0.003329882,3
Capitol Hill,rsva,2018_W50,0.000203382,6.59E-07,0.000203,0.063056708,0.000202275,2
Cascade/Eastlake,rsva,2018_W50,2.97E-05,8.45E-08,3.10E-05,0.008141851,3.39E-05,2
Cedar Park/Meadowbrook,rsva,2018_W50,0.007870301,0.001950608,0.007871969,0.031676997,0.007875801,4
Central Area/Squire Park,rsva,2018_W50,0.001426054,0.000130903,0.001436937,0.014858956,0.001458821,3
Columbia City,rsva,2018_W50,0.000267584,1.17E-06,0.000267603,0.060936198,0.000267704,2
Downtown Commercial Core,rsva,2018_W50,0.000225118,2.34E-06,0.000228822,0.019710262,0.000236595,2
Duwamish/SODO,rsva,2018_W50,0.002549623,4.91E-05,0.002553706,0.130750281,0.002562223,3
Fauntleroy/Seaview,rsva,2018_W50,0.018496695,0.003672899,0.018496351,0.093021017,0.01849696,4
First Hill,rsva,2018_W50,0.000407384,1.02E-05,0.000411964,0.015235471,0.000421267,3
Fremont,rsva,2018_W50,0.003375963,0.000350475,0.003378026,0.032341925,0.003382506,3
Georgetown,rsva,2018_W50,4.03E-07,6.85E-14,4.12E-07,2.040404506,4.32E-07,1
Green Lake,rsva,2018_W50,0.004540581,0.00023995,0.004545955,0.085131337,0.004557425,3
Greenwood/Phinney Ridge,rsva,2018_W50,4.09E-05,5.94E-08,4.13E-05,0.026315323,4.23E-05,2
Haller Lake,rsva,2018_W50,1.04E-05,7.83E-11,1.07E-05,1.172310054,1.13E-05,2
High Point,rsva,2018_W50,0.003080251,9.18E-05,0.003081841,0.102695628,0.003085448,3
Highland Park,rsva,2018_W50,4.80E-08,1.13E-54,4.82E-08,1.82E+39,4.88E-08,1
Interbay,rsva,2018_W50,0.000545714,1.48E-05,0.000545991,0.019933615,0.000546629,3
Judkins Park,rsva,2018_W50,0.029017418,0.007496184,0.029017015,0.112194737,0.029017907,5
Laurelhurst/Sand Point,rsva,2018_W50,0.000358819,2.90E-06,0.00035886,0.044148616,0.000359008,2
Licton Springs,rsva,2018_W50,1.03E-07,4.08E-15,1.08E-07,2.065056163,1.16E-07,1
Madison Park,rsva,2018_W50,3.62E-06,1.76E-12,3.68E-06,6.627699424,3.82E-06,1
Madrona/Leschi,rsva,2018_W50,0.003342814,0.000138409,0.003355829,0.078754146,0.003381974,3
Magnolia,rsva,2018_W50,2.56E-06,1.69E-11,2.62E-06,0.33657639,2.74E-06,1
Miller Park,rsva,2018_W50,2.36E-06,2.82E-11,2.43E-06,0.165573453,2.58E-06,1
Montlake/Portage Bay,rsva,2018_W50,9.85E-05,2.72E-07,9.99E-05,0.032905123,0.000102691,2
Mt. Baker/North Rainier,rsva,2018_W50,5.28E-06,4.27E-10,5.44E-06,0.054604715,5.77E-06,1
NA,rsva,2018_W50,8.51E-08,3.36E-55,8.54E-08,1.92E+40,8.64E-08,1
North Beach/Blue Ridge,rsva,2018_W50,5.80E-05,2.86E-08,5.96E-05,0.099815154,6.30E-05,2
North Beacon Hill/Jefferson Park,rsva,2018_W50,0.002117793,8.15E-05,0.002143726,0.05125712,0.002195821,3
North Capitol Hill,rsva,2018_W50,3.83E-08,1.78E-54,3.84E-08,7.29E+38,3.89E-08,1
North Delridge,rsva,2018_W50,8.72E-05,2.63E-08,8.85E-05,0.263207232,9.12E-05,2
Northgate/Maple Leaf,rsva,2018_W50,0.003835532,0.000775575,0.003835758,0.018934321,0.003836478,3
Olympic Hills/Victory Heights,rsva,2018_W50,0.000398944,6.13E-06,0.000400123,0.025441342,0.000402518,2
Pioneer Square/International District,rsva,2018_W50,0.003966206,0.000672118,0.003967695,0.023317747,0.003971008,3
Queen Anne,rsva,2018_W50,7.16E-05,5.60E-07,7.24E-05,0.008531059,7.41E-05,2
Rainier Beach,rsva,2018_W50,4.83E-05,4.00E-08,4.95E-05,0.050562106,5.19E-05,2
Ravenna/Bryant,rsva,2018_W50,0.000101799,7.11E-07,0.000102188,0.014193498,0.000102975,2
Riverview,rsva,2018_W50,0.000140097,3.40E-08,0.000140321,0.566985946,0.000140809,2
Roxhill/Westwood,rsva,2018_W50,1.24E-05,3.56E-10,1.25E-05,0.406284225,1.27E-05,2
Seward Park,rsva,2018_W50,1.24E-08,4.87E-16,1.29E-08,0.244508044,1.41E-08,1
