NEIGHBORHOOD_DISTRICT_NAME,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
Ballard,rsva,2018_W48,0.000430542,5.34E-06,0.000428786,0.035356415,0.000425303,1
Central,rsva,2018_W48,0.018952257,0.00294156,0.018962444,0.121530083,0.018985284,3
Delridge Neighborhoods,rsva,2018_W48,0.002405619,2.54E-05,0.002411806,0.223378175,0.002424577,2
Downtown,rsva,2018_W48,0.004402975,0.000317154,0.004395785,0.061518848,0.00438187,2
East,rsva,2018_W48,0.000509552,6.53E-06,0.00051921,0.035687476,0.00053888,2
Greater Duwamish,rsva,2018_W48,0.001805813,4.05E-05,0.00184832,0.070593993,0.001934398,2
Lake Union,rsva,2018_W48,0.011884205,0.001622226,0.011910352,0.085853041,0.011964203,3
Magnolia/Queen Anne,rsva,2018_W48,0.000388,5.21E-06,0.00038925,0.028245941,0.000391918,1
NA,rsva,2018_W48,1.31E-05,1.68E-43,1.63E-05,2.94E+32,2.64E-05,1
North,rsva,2018_W48,0.014310004,0.002648667,0.014300376,0.077478123,0.01428219,3
Northeast,rsva,2018_W48,0.002886071,0.000250804,0.002904543,0.0319801,0.002941933,2
Northwest,rsva,2018_W48,0.003631193,0.000144436,0.003628816,0.091323087,0.003624483,2
Southeast,rsva,2018_W48,0.000173957,3.57E-07,0.000173179,0.086154191,0.000171669,1
Southwest,rsva,2018_W48,0.019921425,0.002224445,0.019936048,0.177304153,0.019966475,3
Ballard,rsva,2018_W49,0.000760422,1.91E-05,0.000758181,0.030589327,0.000753729,2
Central,rsva,2018_W49,0.024567079,0.005555298,0.024578483,0.108214182,0.024603362,3
Delridge Neighborhoods,rsva,2018_W49,0.003716475,7.88E-05,0.00372292,0.172830503,0.003736362,2
Downtown,rsva,2018_W49,0.006410488,0.000766327,0.006407086,0.053673231,0.006400814,2
East,rsva,2018_W49,0.000945609,2.52E-05,0.000959369,0.032693639,0.000987254,2
Greater Duwamish,rsva,2018_W49,0.003234485,0.000143081,0.003290096,0.066327106,0.003401826,2
Lake Union,rsva,2018_W49,0.012513834,0.002454437,0.012547002,0.062779118,0.012614776,3
Magnolia/Queen Anne,rsva,2018_W49,0.000718171,1.97E-05,0.000719892,0.025676753,0.000723581,2
NA,rsva,2018_W49,1.48E-05,1.21E-41,1.79E-05,6.08E+30,2.70E-05,1
North,rsva,2018_W49,0.016696403,0.00433193,0.016696693,0.064266109,0.016698286,3
Northeast,rsva,2018_W49,0.004616747,0.000665476,0.004633676,0.031326081,0.004667983,2
Northwest,rsva,2018_W49,0.005359891,0.000376491,0.005357523,0.076295445,0.005353314,2
Southeast,rsva,2018_W49,0.000302448,1.43E-06,0.000301456,0.064646034,0.000299532,1
Southwest,rsva,2018_W49,0.023930688,0.004042762,0.023933934,0.141313154,0.02394207,3
Ballard,rsva,2018_W50,0.001340922,6.33E-05,0.001338262,0.028644473,0.001332985,2
Central,rsva,2018_W50,0.031395711,0.009095099,0.031411158,0.107957561,0.031444017,3
