PUMA5CE,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
11601,rsva,2018_W48,0.004932822,0.000927883,0.004928963,0.026297161,0.004921582,3
11602,rsva,2018_W48,0.00513919,0.001148377,0.005135104,0.023067374,0.005127407,3
11603,rsva,2018_W48,0.000797578,5.61E-05,0.000795287,0.011481776,0.000790801,2
11604,rsva,2018_W48,0.004311788,0.00069393,0.004313201,0.02669635,0.004316763,3
11605,rsva,2018_W48,0.003685428,0.000381218,0.003708127,0.034366215,0.003754708,3
11606,rsva,2018_W48,0.211959811,0.071574937,0.211907145,0.627924403,0.211810855,5
11607,rsva,2018_W48,0.01682347,0.001911039,0.017026618,0.138281668,0.017432497,3
11608,rsva,2018_W48,4.66E-05,4.71E-09,4.76E-05,0.404875535,4.96E-05,1
11609,rsva,2018_W48,9.12E-06,2.52E-10,9.49E-06,0.262183869,1.03E-05,1
11610,rsva,2018_W48,0.000103911,5.56E-08,0.000110243,0.139509727,0.000123666,1
11611,rsva,2018_W48,0.001473945,9.63E-06,0.001471015,0.227086199,0.001465444,2
11612,rsva,2018_W48,6.34E-05,3.08E-08,6.95E-05,0.078440153,8.31E-05,1
11613,rsva,2018_W48,2.47E-05,5.77E-10,2.49E-05,1.014256863,2.51E-05,1
11614,rsva,2018_W48,4.59E-06,2.23E-12,4.67E-06,8.386169988,4.82E-06,1
11615,rsva,2018_W48,0.000309776,1.92E-07,0.000310858,0.485952735,0.000313082,2
11616,rsva,2018_W48,1.66E-06,5.86E-13,1.69E-06,4.137230602,1.75E-06,1
11601,rsva,2018_W49,0.005903729,0.001615836,0.005903897,0.021541285,0.005904564,3
11602,rsva,2018_W49,0.006466023,0.002076568,0.006467281,0.02009121,0.006470229,3
11603,rsva,2018_W49,0.001260622,0.00015515,0.001259105,0.010289938,0.001256164,2
11604,rsva,2018_W49,0.005790603,0.001426632,0.00579429,0.023390479,0.005802271,3
11605,rsva,2018_W49,0.005499034,0.000946965,0.005523129,0.031118523,0.00557239,3
11606,rsva,2018_W49,0.205333657,0.089390225,0.205332114,0.471322273,0.205336384,5
11607,rsva,2018_W49,0.027822405,0.005352679,0.028013654,0.138995723,0.028394526,4
11608,rsva,2018_W49,8.48E-05,2.44E-08,8.65E-05,0.262541384,8.98E-05,1
11609,rsva,2018_W49,1.82E-05,1.54E-09,1.89E-05,0.17359883,2.03E-05,1
11610,rsva,2018_W49,0.000197884,2.82E-07,0.00020856,0.103606899,0.000230989,1
11611,rsva,2018_W49,0.001934522,2.56E-05,0.001932817,0.146277203,0.001929744,2
11612,rsva,2018_W49,0.000136328,1.80E-07,0.000148149,0.065007062,0.000174145,1
11613,rsva,2018_W49,4.22E-05,2.92E-09,4.24E-05,0.581566616,4.29E-05,1
11614,rsva,2018_W49,8.17E-06,1.37E-11,8.33E-06,4.288186806,8.63E-06,1
11615,rsva,2018_W49,0.000454548,6.87E-07,0.000455959,0.293640834,0.000458904,2
11616,rsva,2018_W49,3.24E-06,4.07E-12,3.30E-06,2.257263203,3.43E-06,1
11601,rsva,2018_W50,0.00689189,0.002390358,0.006892087,0.019848317,0.0068928,3
11602,rsva,2018_W50,0.008180493,0.003281524,0.008187561,0.020278722,0.008202153,3
11603,rsva,2018_W50,0.001973385,0.000382139,0.001973072,0.010183636,0.001972578,2
11604,rsva,2018_W50,0.00763044,0.002522512,0.007637653,0.022937658,0.007652635,3
11605,rsva,2018_W50,0.008104366,0.002060988,0.008128509,0.03130765,0.008177644,3
11606,rsva,2018_W50,0.185594635,0.088351036,0.18550694,0.39062593,0.185338199,5
11607,rsva,2018_W50,0.045437714,0.013070515,0.045569445,0.155243728,0.045831937,4
11608,rsva,2018_W50,0.000153504,1.19E-07,0.000156085,0.179188833,0.000161241,1
11609,rsva,2018_W50,3.60E-05,8.89E-09,3.73E-05,0.120447924,3.98E-05,1
11610,rsva,2018_W50,0.000374451,1.33E-06,0.000391944,0.081426792,0.000428359,2
11611,rsva,2018_W50,0.002521268,6.19E-05,0.002521565,0.102347843,0.002522566,2
11612,rsva,2018_W50,0.000291245,9.89E-07,0.000313549,0.056921019,0.000361947,2
11613,rsva,2018_W50,7.15E-05,1.39E-08,7.20E-05,0.350133838,7.30E-05,1
11614,rsva,2018_W50,1.45E-05,8.02E-11,1.48E-05,2.286385447,1.53E-05,1
11615,rsva,2018_W50,0.000662685,2.27E-06,0.000664569,0.189057529,0.000668557,2
11616,rsva,2018_W50,6.28E-06,2.68E-11,6.41E-06,1.282254064,6.67E-06,1
11601,rsva,2018_W51,0.007854715,0.003119921,0.007852055,0.019795407,0.007847085,3
11602,rsva,2018_W51,0.010664242,0.004842785,0.010684569,0.023219808,0.010725509,3
11603,rsva,2018_W51,0.00316299,0.000869679,0.003164037,0.011468706,0.003166322,2
11604,rsva,2018_W51,0.010345692,0.004129821,0.010358556,0.025717028,0.010384716,3
11605,rsva,2018_W51,0.012116594,0.004079194,0.012138384,0.035596617,0.012182528,3
11606,rsva,2018_W51,0.160204908,0.076754575,0.160151741,0.334766318,0.160052366,5
11607,rsva,2018_W51,0.072534791,0.027579243,0.072578582,0.189951012,0.072667563,4
11608,rsva,2018_W51,0.000277736,5.44E-07,0.000281738,0.12988445,0.000289734,1
11609,rsva,2018_W51,7.14E-05,4.86E-08,7.36E-05,0.088309976,7.81E-05,1
11610,rsva,2018_W51,0.000708549,5.91E-06,0.000736561,0.068402916,0.000794368,2
11611,rsva,2018_W51,0.003278856,0.000136255,0.003281693,0.078294744,0.003287865,2
11612,rsva,2018_W51,0.000622228,5.09E-06,0.000663532,0.053198033,0.000751993,2
11613,rsva,2018_W51,0.000121261,6.27E-08,0.000122142,0.223202625,0.000123929,1
11614,rsva,2018_W51,2.56E-05,4.47E-10,2.62E-05,1.280468997,2.73E-05,1
11615,rsva,2018_W51,0.000965811,6.99E-06,0.00096845,0.130897715,0.000974076,2
11616,rsva,2018_W51,1.22E-05,1.69E-10,1.24E-05,0.763708305,1.30E-05,1
11601,rsva,2018_W52,0.009207864,0.003962116,0.009206463,0.02139983,0.009204025,3
11602,rsva,2018_W52,0.015286927,0.007570599,0.015317946,0.030502388,0.015379942,3
11603,rsva,2018_W52,0.005358504,0.001912949,0.005361357,0.014951426,0.005367329,3
11604,rsva,2018_W52,0.014900132,0.006742617,0.014917105,0.032694482,0.01495127,3
11605,rsva,2018_W52,0.018746504,0.007659886,0.018760342,0.045652251,0.018788452,3
11606,rsva,2018_W52,0.143104109,0.067545313,0.143210408,0.301723571,0.143430098,5
11607,rsva,2018_W52,0.114830061,0.052106782,0.114773718,0.253555657,0.114664641,5
11608,rsva,2018_W52,0.000509068,2.37E-06,0.000515334,0.101539762,0.00052785,2
