CRA_NAME,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
Alki/Admiral,vic,2018_W46,8.51E-06,2.82E-11,8.51E-06,2.544120005,8.51E-06,3
Arbor Heights,vic,2018_W46,1.86E-06,2.02E-12,1.86E-06,1.699150941,1.86E-06,2
Ballard,vic,2018_W46,1.25E-05,5.49E-11,1.25E-05,2.811558116,1.25E-05,3
Beacon Hill,vic,2018_W46,1.05E-09,2.43E-63,1.05E-09,4.06E+44,1.05E-09,1
Belltown,vic,2018_W46,2.51E-05,1.29E-10,2.51E-05,4.856610533,2.51E-05,4
Broadview/Bitter Lake,vic,2018_W46,1.33E-09,7.53E-64,1.33E-09,2.09E+45,1.33E-09,1
Capitol Hill,vic,2018_W46,1.49E-07,4.42E-13,1.49E-07,0.0495699,1.49E-07,2
Cascade/Eastlake,vic,2018_W46,1.92E-06,8.16E-12,1.92E-06,0.446425887,1.92E-06,2
Cedar Park/Meadowbrook,vic,2018_W46,7.23E-06,3.90E-11,7.22E-06,1.32573444,7.23E-06,3
Central Area/Squire Park,vic,2018_W46,7.51E-06,3.94E-11,7.51E-06,1.417526672,7.51E-06,3
Columbia City,vic,2018_W46,9.07E-07,2.85E-12,9.07E-07,0.28576117,9.08E-07,2
Downtown Commercial Core,vic,2018_W46,3.26E-07,5.30E-13,3.27E-07,0.197834638,3.27E-07,2
Duwamish/SODO,vic,2018_W46,9.91E-07,8.00E-13,9.91E-07,1.210565909,9.92E-07,2
Fauntleroy/Seaview,vic,2018_W46,2.68E-12,3.65E-20,2.70E-12,0.000188042,2.73E-12,1
First Hill,vic,2018_W46,4.18E-06,1.60E-11,4.18E-06,1.076719791,4.18E-06,3
Fremont,vic,2018_W46,1.70E-06,6.39E-12,1.70E-06,0.446012141,1.70E-06,2
Georgetown,vic,2018_W46,1.03E-07,3.56E-14,1.04E-07,0.293000617,1.04E-07,2
Green Lake,vic,2018_W46,2.26E-07,5.90E-13,2.26E-07,0.084838677,2.26E-07,2
Greenwood/Phinney Ridge,vic,2018_W46,8.70E-06,4.23E-11,8.70E-06,1.769597349,8.70E-06,3
Haller Lake,vic,2018_W46,1.44E-09,4.93E-64,1.44E-09,3.77E+45,1.45E-09,1
High Point,vic,2018_W46,1.02E-08,2.47E-15,1.02E-08,0.040709897,1.03E-08,1
Highland Park,vic,2018_W46,1.45E-09,4.71E-64,1.45E-09,4.02E+45,1.46E-09,1
Interbay,vic,2018_W46,8.57E-06,3.35E-11,8.57E-06,2.17178326,8.58E-06,3
Judkins Park,vic,2018_W46,8.96E-06,4.14E-11,8.96E-06,1.921103862,8.96E-06,3
Laurelhurst/Sand Point,vic,2018_W46,3.55E-06,9.36E-12,3.55E-06,1.332638788,3.55E-06,3
Licton Springs,vic,2018_W46,4.33E-05,1.44E-10,4.33E-05,12.87948012,4.33E-05,4
Madison Park,vic,2018_W46,1.88E-09,1.22E-64,1.87E-09,2.58E+46,1.88E-09,1
Madrona/Leschi,vic,2018_W46,8.71E-06,3.52E-11,8.71E-06,2.133842005,8.71E-06,3
Magnolia,vic,2018_W46,0.000194712,8.27E-10,0.000194678,45.34849972,0.000194713,5
Miller Park,vic,2018_W46,3.96E-06,1.04E-11,3.96E-06,1.491709275,3.97E-06,3
Montlake/Portage Bay,vic,2018_W46,2.72E-05,1.23E-10,2.72E-05,5.940976799,2.72E-05,4
Mt. Baker/North Rainier,vic,2018_W46,5.18E-06,2.07E-11,5.18E-06,1.282242991,5.18E-06,3
NA,vic,2018_W46,4.41E-09,7.58E-67,4.40E-09,2.28E+49,4.42E-09,1
North Beach/Blue Ridge,vic,2018_W46,9.48E-10,4.01E-63,9.47E-10,2.01E+44,9.51E-10,1
North Beacon Hill/Jefferson Park,vic,2018_W46,2.89E-07,6.66E-13,2.90E-07,0.123994987,2.90E-07,2
North Capitol Hill,vic,2018_W46,2.38E-06,4.90E-12,2.38E-06,1.14335565,2.38E-06,2
North Delridge,vic,2018_W46,6.21E-06,1.62E-11,6.21E-06,2.358435232,6.21E-06,3
Northgate/Maple Leaf,vic,2018_W46,2.04E-06,9.76E-12,2.04E-06,0.420238753,2.04E-06,2
Olympic Hills/Victory Heights,vic,2018_W46,5.77E-09,9.66E-15,5.78E-09,0.00337267,5.81E-09,1
Pioneer Square/International District,vic,2018_W46,1.97E-06,8.27E-12,1.97E-06,0.464367539,1.97E-06,2
Queen Anne,vic,2018_W46,1.27E-06,5.36E-12,1.27E-06,0.299418491,1.27E-06,2
Rainier Beach,vic,2018_W46,7.11E-10,1.54E-62,7.11E-10,2.96E+43,7.14E-10,1
Ravenna/Bryant,vic,2018_W46,1.31E-06,5.80E-12,1.31E-06,0.290707488,1.31E-06,2
Riverview,vic,2018_W46,3.09E-06,6.32E-12,3.09E-06,1.489959096,3.09E-06,3
Roxhill/Westwood,vic,2018_W46,4.01E-09,8.42E-16,4.03E-09,0.018464988,4.06E-09,1
Seward Park,vic,2018_W46,9.91E-10,3.24E-63,9.90E-10,2.71E+44,9.94E-10,1
South Beacon Hill/NewHolly,vic,2018_W46,1.06E-09,2.34E-63,1.06E-09,4.30E+44,1.06E-09,1
South Park,vic,2018_W46,8.91E-05,3.54E-10,8.91E-05,22.23554972,8.91E-05,5
Sunset Hill/Loyal Heights,vic,2018_W46,2.47E-05,1.25E-10,2.47E-05,4.823730055,2.47E-05,4
University District,vic,2018_W46,7.29E-08,2.25E-13,7.29E-08,0.023226718,7.31E-08,1
Wallingford,vic,2018_W46,1.22E-05,6.36E-11,1.22E-05,2.327943679,1.22E-05,3
Wedgwood/View Ridge,vic,2018_W46,3.60E-07,8.61E-13,3.60E-07,0.148675826,3.61E-07,2
West Seattle Junction/Genesee Hill,vic,2018_W46,1.71E-06,1.85E-12,1.71E-06,1.554038651,1.71E-06,2
Whittier Heights,vic,2018_W46,9.96E-10,3.14E-63,9.96E-10,2.83E+44,1.00E-09,1
Alki/Admiral,vic,2018_W47,1.13E-05,4.02E-11,1.13E-05,3.144025096,1.13E-05,3
Arbor Heights,vic,2018_W47,2.51E-06,3.27E-12,2.51E-06,1.900254,2.51E-06,2
Ballard,vic,2018_W47,1.61E-05,7.38E-11,1.61E-05,3.458188382,1.61E-05,3
Beacon Hill,vic,2018_W47,1.51E-09,1.70E-60,1.51E-09,1.21E+42,1.51E-09,1
Belltown,vic,2018_W47,3.03E-05,1.60E-10,3.03E-05,5.699377782,3.03E-05,4
Broadview/Bitter Lake,vic,2018_W47,1.91E-09,5.59E-61,1.90E-09,5.84E+42,1.91E-09,1
Capitol Hill,vic,2018_W47,2.44E-07,7.77E-13,2.44E-07,0.075278633,2.44E-07,2
Cascade/Eastlake,vic,2018_W47,2.80E-06,1.24E-11,2.79E-06,0.621646519,2.80E-06,2
Cedar Park/Meadowbrook,vic,2018_W47,9.98E-06,5.50E-11,9.98E-06,1.790881388,9.98E-06,3
Central Area/Squire Park,vic,2018_W47,9.92E-06,5.34E-11,9.91E-06,1.823905312,9.92E-06,3
Columbia City,vic,2018_W47,1.33E-06,4.49E-12,1.33E-06,0.388631877,1.33E-06,2
Downtown Commercial Core,vic,2018_W47,4.89E-07,9.08E-13,4.89E-07,0.259456253,4.90E-07,2
Duwamish/SODO,vic,2018_W47,1.39E-06,1.38E-12,1.39E-06,1.382604368,1.39E-06,2
Fauntleroy/Seaview,vic,2018_W47,6.49E-12,1.25E-19,6.53E-12,0.000323905,6.60E-12,1
First Hill,vic,2018_W47,5.57E-06,2.26E-11,5.56E-06,1.353483495,5.57E-06,3
Fremont,vic,2018_W47,2.40E-06,9.58E-12,2.40E-06,0.595133242,2.40E-06,2
Georgetown,vic,2018_W47,1.66E-07,7.33E-14,1.66E-07,0.366894729,1.67E-07,2
Green Lake,vic,2018_W47,3.62E-07,1.03E-12,3.62E-07,0.125085251,3.63E-07,2
Greenwood/Phinney Ridge,vic,2018_W47,1.18E-05,5.91E-11,1.18E-05,2.314434414,1.18E-05,3
Haller Lake,vic,2018_W47,2.07E-09,3.74E-61,2.07E-09,1.03E+43,2.08E-09,1
High Point,vic,2018_W47,1.79E-08,5.59E-15,1.79E-08,0.055408287,1.80E-08,1
Highland Park,vic,2018_W47,2.09E-09,3.58E-61,2.09E-09,1.09E+43,2.09E-09,1
Interbay,vic,2018_W47,1.07E-05,4.44E-11,1.07E-05,2.557086423,1.07E-05,3
Judkins Park,vic,2018_W47,1.19E-05,5.69E-11,1.19E-05,2.446711937,1.19E-05,3
Laurelhurst/Sand Point,vic,2018_W47,4.69E-06,1.36E-11,4.69E-06,1.593981716,4.69E-06,3
Licton Springs,vic,2018_W47,4.59E-05,1.67E-10,4.59E-05,12.46877489,4.59E-05,4
Madison Park,vic,2018_W47,2.69E-09,9.96E-62,2.69E-09,6.53E+43,2.70E-09,1
Madrona/Leschi,vic,2018_W47,1.13E-05,4.80E-11,1.13E-05,2.619836232,1.13E-05,3
Magnolia,vic,2018_W47,0.000165946,7.62E-10,0.000165916,35.77881718,0.000165946,5
Miller Park,vic,2018_W47,5.23E-06,1.52E-11,5.23E-06,1.784275881,5.23E-06,3
Montlake/Portage Bay,vic,2018_W47,3.28E-05,1.55E-10,3.28E-05,6.876811605,3.28E-05,4
Mt. Baker/North Rainier,vic,2018_W47,7.32E-06,3.08E-11,7.32E-06,1.720987001,7.32E-06,3
NA,vic,2018_W47,6.31E-09,8.01E-64,6.30E-09,4.45E+46,6.32E-09,1
North Beach/Blue Ridge,vic,2018_W47,1.36E-09,2.72E-60,1.36E-09,6.14E+41,1.37E-09,1
North Beacon Hill/Jefferson Park,vic,2018_W47,4.44E-07,1.13E-12,4.44E-07,0.171979833,4.44E-07,2
North Capitol Hill,vic,2018_W47,3.34E-06,7.72E-12,3.34E-06,1.427269979,3.34E-06,3
North Delridge,vic,2018_W47,8.19E-06,2.35E-11,8.19E-06,2.82117701,8.19E-06,3
Northgate/Maple Leaf,vic,2018_W47,2.87E-06,1.42E-11,2.87E-06,0.571534991,2.87E-06,3
Olympic Hills/Victory Heights,vic,2018_W47,1.04E-08,1.95E-14,1.04E-08,0.005439722,1.05E-08,1
Pioneer Square/International District,vic,2018_W47,2.72E-06,1.20E-11,2.72E-06,0.611829729,2.72E-06,2
Queen Anne,vic,2018_W47,1.88E-06,8.27E-12,1.88E-06,0.421164261,1.88E-06,2
Rainier Beach,vic,2018_W47,1.02E-09,9.67E-60,1.02E-09,9.75E+40,1.03E-09,1
Ravenna/Bryant,vic,2018_W47,1.94E-06,8.96E-12,1.94E-06,0.414340104,1.94E-06,2
Riverview,vic,2018_W47,4.33E-06,9.95E-12,4.33E-06,1.860048234,4.33E-06,3
Roxhill/Westwood,vic,2018_W47,7.34E-09,1.99E-15,7.36E-09,0.026209661,7.42E-09,1
Seward Park,vic,2018_W47,1.42E-09,2.22E-60,1.42E-09,8.21E+41,1.43E-09,1
South Beacon Hill/NewHolly,vic,2018_W47,1.52E-09,1.63E-60,1.52E-09,1.28E+42,1.53E-09,1
South Park,vic,2018_W47,8.46E-05,3.63E-10,8.46E-05,19.51300689,8.46E-05,5
Sunset Hill/Loyal Heights,vic,2018_W47,3.07E-05,1.60E-10,3.07E-05,5.828715236,3.07E-05,4
University District,vic,2018_W47,1.25E-07,4.14E-13,1.25E-07,0.037268526,1.25E-07,2
Wallingford,vic,2018_W47,1.54E-05,8.25E-11,1.54E-05,2.862118423,1.54E-05,3
Wedgwood/View Ridge,vic,2018_W47,5.44E-07,1.43E-12,5.44E-07,0.2035472,5.44E-07,2
West Seattle Junction/Genesee Hill,vic,2018_W47,2.30E-06,3.00E-12,2.30E-06,1.737919971,2.30E-06,2
Whittier Heights,vic,2018_W47,1.43E-09,2.16E-60,1.43E-09,8.54E+41,1.44E-09,1
Alki/Admiral,vic,2018_W48,1.50E-05,5.69E-11,1.50E-05,3.905718677,1.50E-05,3
Arbor Heights,vic,2018_W48,3.37E-06,5.22E-12,3.37E-06,2.14717109,3.37E-06,3
Ballard,vic,2018_W48,2.06E-05,9.85E-11,2.06E-05,4.269565456,2.06E-05,3
Beacon Hill,vic,2018_W48,2.16E-09,1.13E-57,2.16E-09,3.77E+39,2.17E-09,1
Belltown,vic,2018_W48,3.65E-05,1.97E-10,3.65E-05,6.707670601,3.65E-05,4
Broadview/Bitter Lake,vic,2018_W48,2.73E-09,3.95E-58,2.73E-09,1.71E+40,2.74E-09,1
Capitol Hill,vic,2018_W48,3.97E-07,1.36E-12,3.97E-07,0.11482213,3.98E-07,2
Cascade/Eastlake,vic,2018_W48,4.06E-06,1.88E-11,4.06E-06,0.868647105,4.06E-06,3
Cedar Park/Meadowbrook,vic,2018_W48,1.38E-05,7.73E-11,1.38E-05,2.424881989,1.38E-05,3
Central Area/Squire Park,vic,2018_W48,1.31E-05,7.18E-11,1.31E-05,2.352766983,1.31E-05,3
Columbia City,vic,2018_W48,1.94E-06,7.02E-12,1.94E-06,0.531083638,1.94E-06,2
Downtown Commercial Core,vic,2018_W48,7.31E-07,1.54E-12,7.31E-07,0.342670569,7.32E-07,2
Duwamish/SODO,vic,2018_W48,1.95E-06,2.34E-12,1.95E-06,1.595464827,1.95E-06,2
Fauntleroy/Seaview,vic,2018_W48,1.57E-11,4.21E-19,1.58E-11,0.000561284,1.59E-11,1
First Hill,vic,2018_W48,7.40E-06,3.17E-11,7.40E-06,1.708974269,7.40E-06,3
Fremont,vic,2018_W48,3.39E-06,1.42E-11,3.39E-06,0.797454143,3.39E-06,3
Georgetown,vic,2018_W48,2.65E-07,1.49E-13,2.66E-07,0.463790802,2.67E-07,2
Green Lake,vic,2018_W48,5.79E-07,1.79E-12,5.80E-07,0.18532258,5.80E-07,2
Greenwood/Phinney Ridge,vic,2018_W48,1.59E-05,8.19E-11,1.58E-05,3.035956294,1.59E-05,3
Haller Lake,vic,2018_W48,2.96E-09,2.70E-58,2.96E-09,2.94E+40,2.97E-09,1
High Point,vic,2018_W48,3.13E-08,1.25E-14,3.13E-08,0.076054048,3.15E-08,1
Highland Park,vic,2018_W48,2.99E-09,2.59E-58,2.99E-09,3.12E+40,3.00E-09,1
Interbay,vic,2018_W48,1.34E-05,5.83E-11,1.34E-05,3.025403614,1.34E-05,3
Judkins Park,vic,2018_W48,1.57E-05,7.77E-11,1.57E-05,3.12649748,1.57E-05,3
Laurelhurst/Sand Point,vic,2018_W48,6.17E-06,1.96E-11,6.17E-06,1.919308093,6.17E-06,3
Licton Springs,vic,2018_W48,4.86E-05,1.92E-10,4.86E-05,12.19712732,4.86E-05,4
Madison Park,vic,2018_W48,3.85E-09,7.73E-59,3.85E-09,1.74E+41,3.86E-09,1
Madrona/Leschi,vic,2018_W48,1.46E-05,6.51E-11,1.46E-05,3.23034866,1.46E-05,3
Magnolia,vic,2018_W48,0.000141181,6.85E-10,0.000141157,28.82243867,0.000141182,5
Miller Park,vic,2018_W48,6.89E-06,2.19E-11,6.89E-06,2.148472162,6.89E-06,3
Montlake/Portage Bay,vic,2018_W48,3.96E-05,1.94E-10,3.96E-05,7.991087,3.96E-05,4
Mt. Baker/North Rainier,vic,2018_W48,1.03E-05,4.54E-11,1.03E-05,2.318730103,1.03E-05,3
NA,vic,2018_W48,9.01E-09,7.99E-61,9.01E-09,9.16E+43,9.03E-09,1
North Beach/Blue Ridge,vic,2018_W48,1.95E-09,1.76E-57,1.95E-09,1.96E+39,1.96E-09,1
North Beacon Hill/Jefferson Park,vic,2018_W48,6.78E-07,1.89E-12,6.79E-07,0.239884662,6.79E-07,2
North Capitol Hill,vic,2018_W48,4.67E-06,1.20E-11,4.67E-06,1.794080791,4.68E-06,3
North Delridge,vic,2018_W48,1.08E-05,3.39E-11,1.08E-05,3.397226291,1.08E-05,3
Northgate/Maple Leaf,vic,2018_W48,4.03E-06,2.06E-11,4.03E-06,0.779625439,4.03E-06,3
Olympic Hills/Victory Heights,vic,2018_W48,1.88E-08,3.92E-14,1.88E-08,0.008819887,1.88E-08,1
Pioneer Square/International District,vic,2018_W48,3.76E-06,1.73E-11,3.76E-06,0.809160443,3.76E-06,3
Queen Anne,vic,2018_W48,2.76E-06,1.27E-11,2.76E-06,0.594486181,2.76E-06,2
Rainier Beach,vic,2018_W48,1.47E-09,5.80E-57,1.47E-09,3.36E+38,1.47E-09,1
Ravenna/Bryant,vic,2018_W48,2.87E-06,1.38E-11,2.87E-06,0.592457899,2.87E-06,3
Riverview,vic,2018_W48,6.06E-06,1.55E-11,6.06E-06,2.338213348,6.06E-06,3
Roxhill/Westwood,vic,2018_W48,1.34E-08,4.65E-15,1.34E-08,0.037500936,1.35E-08,1
Seward Park,vic,2018_W48,2.04E-09,1.45E-57,2.04E-09,2.60E+39,2.04E-09,1
South Beacon Hill/NewHolly,vic,2018_W48,2.18E-09,1.09E-57,2.18E-09,3.97E+39,2.19E-09,1
South Park,vic,2018_W48,8.02E-05,3.66E-10,8.01E-05,17.35750626,8.02E-05,5
Sunset Hill/Loyal Heights,vic,2018_W48,3.81E-05,2.04E-10,3.81E-05,7.063156118,3.81E-05,4
University District,vic,2018_W48,2.14E-07,7.55E-13,2.14E-07,0.060041006,2.15E-07,2
Wallingford,vic,2018_W48,1.95E-05,1.06E-10,1.95E-05,3.52825671,1.95E-05,3
