NEIGHBORHOOD_DISTRICT_NAME,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
Ballard,vic,2018_W46,7.60E-05,3.05E-10,7.60E-05,18.70912467,7.60E-05,3
Central,vic,2018_W46,5.38E-05,2.23E-10,5.38E-05,12.82394322,5.38E-05,2
Delridge Neighborhoods,vic,2018_W46,6.11E-06,1.89E-11,6.11E-06,1.958064771,6.12E-06,1
Downtown,vic,2018_W46,3.82E-05,1.54E-10,3.82E-05,9.375307544,3.82E-05,2
East,vic,2018_W46,1.26E-05,4.72E-11,1.26E-05,3.3276404,1.26E-05,1
Greater Duwamish,vic,2018_W46,1.05E-05,3.50E-11,1.05E-05,3.102406301,1.05E-05,1
Lake Union,vic,2018_W46,3.39E-05,1.39E-10,3.39E-05,8.198905911,3.39E-05,2
Magnolia/Queen Anne,vic,2018_W46,3.39E-05,1.31E-10,3.39E-05,8.691895283,3.39E-05,2
NA,vic,2018_W46,3.65E-08,6.78E-59,3.65E-08,1.77E+43,3.66E-08,1
North,vic,2018_W46,2.15E-05,8.98E-11,2.15E-05,5.102236941,2.15E-05,2
Northeast,vic,2018_W46,1.36E-05,5.44E-11,1.36E-05,3.349979984,1.36E-05,2
Northwest,vic,2018_W46,2.97E-05,1.16E-10,2.97E-05,7.554197134,2.97E-05,2
Southeast,vic,2018_W46,1.12E-05,4.06E-11,1.12E-05,3.067525885,1.12E-05,1
Southwest,vic,2018_W46,7.67E-06,2.37E-11,7.66E-06,2.449910453,7.67E-06,1
Ballard,vic,2018_W47,9.04E-05,3.69E-10,9.04E-05,21.88135891,9.04E-05,3
Central,vic,2018_W47,6.64E-05,2.80E-10,6.64E-05,15.60624196,6.64E-05,3
Delridge Neighborhoods,vic,2018_W47,8.29E-06,2.67E-11,8.29E-06,2.549869826,8.30E-06,1
Downtown,vic,2018_W47,4.67E-05,1.92E-10,4.67E-05,11.28650014,4.67E-05,2
East,vic,2018_W47,1.67E-05,6.42E-11,1.67E-05,4.314959082,1.67E-05,2
Greater Duwamish,vic,2018_W47,1.34E-05,4.66E-11,1.34E-05,3.840721195,1.34E-05,1
