PUMA5CE,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
11601,vic,2018_W46,0.001970231,0.000391034,0.00197125,0.009883913,0.001973445,2
11602,vic,2018_W46,0.000516078,8.84E-05,0.00051679,0.002985316,0.000518271,2
11603,vic,2018_W46,0.001320369,0.000245755,0.001321217,0.007057834,0.001323028,2
11604,vic,2018_W46,0.001200769,0.000226149,0.001201755,0.006336997,0.001203835,2
11605,vic,2018_W46,0.000222973,2.48E-05,0.000223374,0.001981941,0.00022421,1
11606,vic,2018_W46,0.002033795,0.000109247,0.002034358,0.037702786,0.002035753,2
11607,vic,2018_W46,0.003183473,0.000336117,0.003184341,0.030044007,0.003186407,3
11608,vic,2018_W46,0.002379644,0.000157765,0.002380451,0.03573676,0.002382364,2
11609,vic,2018_W46,0.000194069,8.42E-06,0.000194623,0.004389379,0.000195776,1
11610,vic,2018_W46,0.004653363,0.00050165,0.004654291,0.043029258,0.004656619,3
11611,vic,2018_W46,0.027261468,0.003208308,0.027260643,0.231230827,0.027261505,5
11612,vic,2018_W46,0.002311547,0.000161454,0.002312856,0.032910223,0.002315773,2
11613,vic,2018_W46,0.000574494,2.07E-06,0.000574632,0.158741594,0.000575051,2
11614,vic,2018_W46,0.007124291,0.000343757,0.007124105,0.147262027,0.007124662,4
11615,vic,2018_W46,7.92E-06,2.44E-09,7.95E-06,0.025052206,8.00E-06,1
11616,vic,2018_W46,3.14E-08,3.26E-13,3.15E-08,0.00295339,3.17E-08,1
11601,vic,2018_W47,0.002436332,0.000524979,0.002437147,0.011269777,0.002438954,2
11602,vic,2018_W47,0.000691725,0.000128901,0.000692406,0.003686214,0.000693834,2
11603,vic,2018_W47,0.001659416,0.000336067,0.001660131,0.008162319,0.001661688,2
11604,vic,2018_W47,0.00153359,0.000314338,0.00153445,0.007448062,0.001536292,2
11605,vic,2018_W47,0.000304319,3.80E-05,0.000304762,0.002412639,0.000305689,1
11606,vic,2018_W47,0.002468492,0.000158131,0.002469025,0.038391277,0.002470397,2
11607,vic,2018_W47,0.003826106,0.000465844,0.003826871,0.031329486,0.003828766,3
11608,vic,2018_W47,0.00291003,0.000226861,0.0029108,0.037186208,0.00291268,3
11609,vic,2018_W47,0.0002805,1.43E-05,0.000281205,0.005420805,0.000282676,1
11610,vic,2018_W47,0.005522235,0.000683164,0.005523004,0.044518167,0.00552506,3
11611,vic,2018_W47,0.021921055,0.003246669,0.021920455,0.147772154,0.021921058,5
11612,vic,2018_W47,0.002901195,0.000236681,0.002902517,0.035391248,0.002905509,3
11613,vic,2018_W47,0.000702656,3.51E-06,0.000702798,0.139881295,0.000703246,2
11614,vic,2018_W47,0.007640427,0.000454057,0.007640199,0.128255436,0.007640673,4
11615,vic,2018_W47,1.22E-05,5.33E-09,1.22E-05,0.02710192,1.23E-05,1
11616,vic,2018_W47,6.03E-08,9.27E-13,6.05E-08,0.003833461,6.08E-08,1
11601,vic,2018_W48,0.003011547,0.000693967,0.003012179,0.013036241,0.003013644,3
11602,vic,2018_W48,0.000926798,0.000185223,0.000927446,0.004612728,0.000928819,2
11603,vic,2018_W48,0.002084726,0.000452693,0.002085316,0.009572099,0.002086643,2
11604,vic,2018_W48,0.001957911,0.000430336,0.001958648,0.008877081,0.001960264,2
11605,vic,2018_W48,0.000415183,5.76E-05,0.000415676,0.002967901,0.000416711,1
11606,vic,2018_W48,0.002994953,0.000226714,0.002995459,0.039433627,0.002996817,3
11607,vic,2018_W48,0.004596706,0.000638434,0.004597379,0.033009483,0.004599134,3
11608,vic,2018_W48,0.003557275,0.000322989,0.003558012,0.039047478,0.003559872,3
11609,vic,2018_W48,0.000405269,2.40E-05,0.000406172,0.006742391,0.000408058,1
11610,vic,2018_W48,0.006550835,0.000919542,0.006551466,0.046559514,0.0065533,3
11611,vic,2018_W48,0.017620057,0.003082741,0.017619616,0.100564752,0.017620056,5
11612,vic,2018_W48,0.003639863,0.000343549,0.003641203,0.038402041,0.00364429,3
11613,vic,2018_W48,0.000859081,5.91E-06,0.000859225,0.124094415,0.000859702,2
11614,vic,2018_W48,0.008190821,0.00059183,0.008190566,0.113106976,0.008190985,4
11615,vic,2018_W48,1.86E-05,1.16E-08,1.87E-05,0.029421269,1.88E-05,1
11616,vic,2018_W48,1.16E-07,2.63E-12,1.16E-07,0.00498623,1.17E-07,1
11601,vic,2018_W49,0.003722631,0.000905368,0.003723113,0.015275732,0.003724312,3
11602,vic,2018_W49,0.001241778,0.000262862,0.001242398,0.005841771,0.001243734,2
11603,vic,2018_W49,0.002619085,0.000602026,0.002619568,0.011367257,0.002620709,2
11604,vic,2018_W49,0.002499673,0.000581584,0.002500304,0.010714407,0.002501734,2
