NEIGHBORHOOD_DISTRICT_NAME,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
Ballard,yam,2018_W51,4.10E-06,3.89E-11,4.10E-06,0.426751558,4.10E-06,1
Central,yam,2018_W51,0.000131006,1.48E-09,0.000130988,11.46848515,0.000131016,3
Delridge Neighborhoods,yam,2018_W51,3.67E-05,2.43E-10,3.67E-05,5.488328137,3.67E-05,2
Downtown,yam,2018_W51,9.45E-05,1.06E-09,9.45E-05,8.337571842,9.45E-05,3
East,yam,2018_W51,7.31E-05,8.01E-10,7.31E-05,6.597036401,7.31E-05,3
Greater Duwamish,yam,2018_W51,4.44E-05,4.59E-10,4.44E-05,4.248600979,4.44E-05,2
Lake Union,yam,2018_W51,0.00016982,1.93E-09,0.000169795,14.77364738,0.000169829,4
Magnolia/Queen Anne,yam,2018_W51,1.27E-05,1.29E-10,1.27E-05,1.239197819,1.27E-05,2
NA,yam,2018_W51,1.45E-08,5.97E-56,1.45E-08,3.18E+39,1.46E-08,1
North,yam,2018_W51,9.15E-05,1.05E-09,9.15E-05,7.902305855,9.15E-05,3
Northeast,yam,2018_W51,2.44E-05,2.65E-10,2.44E-05,2.215973301,2.44E-05,2
Northwest,yam,2018_W51,4.45E-06,3.29E-11,4.45E-06,0.59390241,4.45E-06,1
Southeast,yam,2018_W51,7.14E-06,7.02E-11,7.14E-06,0.717786277,7.14E-06,1
Southwest,yam,2018_W51,0.000145795,1.55E-09,0.000145775,13.58383343,0.000145807,4
Ballard,yam,2018_W52,6.30E-06,6.16E-11,6.30E-06,0.6362912,6.30E-06,1
Central,yam,2018_W52,0.000160036,1.83E-09,0.000160012,13.84862951,0.000160043,4
Delridge Neighborhoods,yam,2018_W52,3.94E-05,2.91E-10,3.94E-05,5.286585337,3.94E-05,2
Downtown,yam,2018_W52,0.000119673,1.36E-09,0.000119656,10.42838921,0.000119681,3
East,yam,2018_W52,9.41E-05,1.05E-09,9.41E-05,8.36613426,9.41E-05,3
Greater Duwamish,yam,2018_W52,5.70E-05,6.03E-10,5.70E-05,5.32818662,5.70E-05,3
Lake Union,yam,2018_W52,0.000199734,2.30E-09,0.000199703,17.18831078,0.000199739,4
Magnolia/Queen Anne,yam,2018_W52,1.84E-05,1.91E-10,1.84E-05,1.752199667,1.84E-05,2
NA,yam,2018_W52,2.08E-08,5.42E-53,2.08E-08,7.21E+36,2.09E-08,1
North,yam,2018_W52,0.000118477,1.37E-09,0.00011846,10.12580652,0.000118485,3
Northeast,yam,2018_W52,3.41E-05,3.77E-10,3.41E-05,3.047948087,3.41E-05,2
Northwest,yam,2018_W52,6.36E-06,5.00E-11,6.36E-06,0.799179591,6.37E-06,1
Southeast,yam,2018_W52,1.07E-05,1.08E-10,1.07E-05,1.045108636,1.07E-05,2
Southwest,yam,2018_W52,0.000170567,1.85E-09,0.000170542,15.59016946,0.000170574,4
Ballard,yam,2019_W01,9.66E-06,9.71E-11,9.66E-06,0.95069853,9.66E-06,2
Central,yam,2019_W01,0.000195207,2.25E-09,0.000195177,16.74036856,0.000195212,4
Delridge Neighborhoods,yam,2019_W01,4.22E-05,3.41E-10,4.22E-05,5.170752364,4.22E-05,2
Downtown,yam,2019_W01,0.000151371,1.74E-09,0.000151348,13.05823835,0.000151376,4
East,yam,2019_W01,0.000120952,1.36E-09,0.000120935,10.62385295,0.000120959,3
Greater Duwamish,yam,2019_W01,7.30E-05,7.89E-10,7.30E-05,6.695922068,7.30E-05,3
Lake Union,yam,2019_W01,0.000234566,2.72E-09,0.000234529,20.01806176,0.000234569,4
Magnolia/Queen Anne,yam,2019_W01,2.66E-05,2.82E-10,2.66E-05,2.482048888,2.66E-05,2
NA,yam,2019_W01,2.96E-08,4.49E-50,2.96E-08,1.78E+34,2.98E-08,1
North,yam,2019_W01,0.00015317,1.79E-09,0.000153147,12.98664004,0.000153176,4
Northeast,yam,2019_W01,4.76E-05,5.34E-10,4.76E-05,4.197985514,4.76E-05,3
Northwest,yam,2019_W01,9.08E-06,7.55E-11,9.08E-06,1.080005937,9.08E-06,2
Southeast,yam,2019_W01,1.59E-05,1.65E-10,1.59E-05,1.524653066,1.59E-05,2
Southwest,yam,2019_W01,0.00019925,2.19E-09,0.000199219,17.92858025,0.000199254,4
Ballard,yam,2019_W02,1.48E-05,1.52E-10,1.48E-05,1.419537526,1.48E-05,2
Central,yam,2019_W02,0.000237214,2.76E-09,0.000237176,20.20099743,0.000237216,4
Delridge Neighborhoods,yam,2019_W02,4.51E-05,3.92E-10,4.51E-05,5.123119477,4.51E-05,2
Downtown,yam,2019_W02,0.000190746,2.21E-09,0.000190716,16.32438415,0.000190749,4
East,yam,2019_W02,0.000154922,1.76E-09,0.000154898,13.47156649,0.000154926,4
Greater Duwamish,yam,2019_W02,9.32E-05,1.02E-09,9.32E-05,8.408957901,9.32E-05,3
