PUMA5CE,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
11601,yam,2018_W51,0.002222654,0.000369437,0.002225361,0.013260677,0.002231004,3
11602,yam,2018_W51,0.002969449,0.00053194,0.002972866,0.016445364,0.002979992,3
11603,yam,2018_W51,0.002860024,0.000509894,0.002863591,0.015906732,0.002871018,3
11604,yam,2018_W51,0.00360611,0.000656372,0.003609817,0.019668963,0.003617569,3
11605,yam,2018_W51,0.00424222,0.00070164,0.004245091,0.02551111,0.004251203,4
11606,yam,2018_W51,7.77E-05,1.40E-06,7.80E-05,0.004214686,7.86E-05,1
11607,yam,2018_W51,1.30E-05,1.50E-08,1.30E-05,0.01096343,1.31E-05,1
11608,yam,2018_W51,0.001796971,0.000135418,0.001799652,0.023593553,0.001805277,3
11609,yam,2018_W51,0.001890837,0.000112611,0.001893061,0.03146117,0.001897787,3
11610,yam,2018_W51,0.000172197,6.74E-06,0.000172774,0.004306422,0.000173972,1
11611,yam,2018_W51,0.000430448,8.74E-06,0.000431282,0.020897058,0.000433044,2
11612,yam,2018_W51,0.002939166,7.06E-05,0.002939521,0.121830209,0.00294071,3
11613,yam,2018_W51,2.27E-07,1.02E-52,2.27E-07,4.58E+38,2.28E-07,1
11614,yam,2018_W51,0.000674935,2.74E-05,0.000676478,0.016369587,0.000679703,2
11615,yam,2018_W51,0.000159194,2.00E-06,0.00015967,0.012406293,0.000160666,1
11616,yam,2018_W51,2.18E-05,1.13E-07,2.19E-05,0.004079444,2.21E-05,1
11601,yam,2018_W52,0.00285987,0.000509929,0.002861948,0.015949721,0.002866356,3
11602,yam,2018_W52,0.00385139,0.000731081,0.003853878,0.020186348,0.003859178,3
11603,yam,2018_W52,0.00372539,0.000706638,0.003728072,0.019532479,0.003733756,3
11604,yam,2018_W52,0.00457942,0.000885087,0.004582029,0.023583746,0.004587618,4
11605,yam,2018_W52,0.005076361,0.000903896,0.005078229,0.028406377,0.005082369,4
11606,yam,2018_W52,0.000118961,2.61E-06,0.00011932,0.005307415,0.000120069,1
11607,yam,2018_W52,2.05E-05,3.31E-08,2.06E-05,0.012401389,2.07E-05,1
11608,yam,2018_W52,0.002332108,0.000200347,0.002334578,0.02692727,0.00233982,3
11609,yam,2018_W52,0.002366175,0.00016504,0.00236813,0.033686621,0.002372352,3
11610,yam,2018_W52,0.000258757,1.18E-05,0.00025946,0.005552204,0.000260923,1
11611,yam,2018_W52,0.000568597,1.46E-05,0.000569455,0.021904661,0.000571282,2
11612,yam,2018_W52,0.002963654,9.89E-05,0.00296379,0.088490037,0.002964499,3
11613,yam,2018_W52,3.20E-07,6.35E-50,3.21E-07,1.48E+36,3.22E-07,1
11614,yam,2018_W52,0.000930654,4.45E-05,0.000932303,0.019208768,0.000935766,2
11615,yam,2018_W52,0.000228755,3.64E-06,0.000229317,0.014126553,0.000230499,1
11616,yam,2018_W52,3.55E-05,2.36E-07,3.56E-05,0.005219479,3.59E-05,1
11601,yam,2019_W01,0.003674911,0.000693602,0.00367644,0.019396395,0.003679789,3
11602,yam,2019_W01,0.004988671,0.000990138,0.004990396,0.025049635,0.00499422,4
11603,yam,2019_W01,0.004846182,0.000964925,0.004848112,0.024249787,0.004852344,4
11604,yam,2019_W01,0.005807747,0.00117597,0.005809482,0.028593473,0.005813378,4
11605,yam,2019_W01,0.006066507,0.001147054,0.006067623,0.032002885,0.006070307,4
11606,yam,2019_W01,0.000181895,4.84E-06,0.000182348,0.006721994,0.000183295,1
11607,yam,2019_W01,3.23E-05,7.26E-08,3.24E-05,0.014083843,3.26E-05,1
11608,yam,2019_W01,0.003022611,0.000292518,0.0030248,0.03104148,0.003029525,3
11609,yam,2019_W01,0.002957098,0.00023854,0.002958723,0.036462402,0.002962326,3
11610,yam,2019_W01,0.000388316,2.06E-05,0.000389161,0.007207934,0.000390926,2
11611,yam,2019_W01,0.000750091,2.41E-05,0.000750939,0.02316154,0.000752768,2
11612,yam,2019_W01,0.002984401,0.000133367,0.00298438,0.066595995,0.002984739,3
11613,yam,2019_W01,4.52E-07,3.66E-47,4.52E-07,5.12E+33,4.54E-07,1
11614,yam,2019_W01,0.001281566,7.15E-05,0.001283281,0.022728835,0.001286911,2
11615,yam,2019_W01,0.000328276,6.56E-06,0.000328926,0.016190479,0.000330298,1
11616,yam,2019_W01,5.78E-05,4.88E-07,5.79E-05,0.006707237,5.83E-05,1
11601,yam,2019_W02,0.00470637,0.000929813,0.004707439,0.023756721,0.004709922,4
11602,yam,2019_W02,0.006440041,0.001322117,0.006441178,0.031293493,0.006443908,4
11603,yam,2019_W02,0.006282959,0.001298799,0.006284289,0.030314578,0.006287396,4
11604,yam,2019_W02,0.007340764,0.001540216,0.007341846,0.034908122,0.007344519,4
11605,yam,2019_W02,0.007225423,0.001433854,0.007225999,0.036340241,0.007227662,4
11606,yam,2019_W02,0.000277186,8.87E-06,0.000277745,0.008542456,0.000278918,1
11607,yam,2019_W02,5.08E-05,1.58E-07,5.09E-05,0.01602549,5.12E-05,1
