samplingLocation,CRA_NAME,n,positive,fitted.values.mean,fitted.values.sd,fitted.values.0.025quant,fitted.values.0.5quant,fitted.values.0.975quant,fitted.values.mode
kiosk,Olympic Hills/Victory Heights,25,25,23.62430915,4.749894026,15.67762054,23.16078471,34.21990865,22.26121622
kiosk,Cedar Park/Meadowbrook,43,43,40.47977236,6.277828875,29.56880287,40.00155467,54.12035313,39.06225356
kiosk,Northgate/Maple Leaf,51,51,48.11280965,6.858779357,36.0696104,47.63122904,62.90417907,46.68286592
kiosk,Wallingford,58,58,54.83504037,7.332405018,41.86758699,54.3512544,70.56287882,53.39688886
kiosk,Interbay,19,19,18.18125211,4.137988377,11.41141593,17.72786981,27.54436652,16.85511488
kiosk,Queen Anne,27,27,25.46480933,4.93973235,17.15142869,24.99878414,36.44081775,24.09254962
kiosk,Central Area/Squire Park,35,35,32.9190751,5.643783688,23.24122608,32.44566341,45.30009683,31.51955194
kiosk,Judkins Park,12,12,12.05554254,3.317914384,6.843720965,11.62334007,19.74425704,10.80495177
kiosk,Pioneer Square/International District,6,6,7.163840226,2.478853308,3.501791985,6.769968614,13.09096255,6.046217757
kiosk,High Point,3,3,4.950803413,1.991806328,2.149509905,4.592981513,9.816394641,3.953147284
kiosk,Arbor Heights,11,11,11.21028912,3.188429495,6.241394044,10.7826117,18.63115686,9.975874186
kiosk,NA,0,0,3.009962797,1.451281561,1.106407596,2.711213395,6.645577612,2.19988147
kiosk,Highland Park,2,2,4.267201868,1.8174803,1.763312823,3.925895079,8.742901865,3.323207518
kiosk,Licton Springs,0,0,3.009962797,1.451281561,1.106407596,2.711213395,6.645577612,2.19988147
kiosk,Wedgwood/View Ridge,44,44,41.43045495,6.353080083,30.37293573,40.95175311,55.22025356,40.01107455
kiosk,Whittier Heights,8,8,8.740248686,2.776336745,4.536209864,8.330056608,15.29975463,7.566805986
kiosk,Montlake/Portage Bay,37,37,34.80094083,5.808065662,24.80390892,34.32614523,47.50875155,33.39631854
kiosk,Miller Park,21,21,19.98053458,4.349761245,12.80442669,19.52322936,29.77144238,18.64003243
kiosk,First Hill,22,22,20.88625166,4.452568614,13.51249483,20.4272109,30.88432794,19.53929271
kiosk,Columbia City,5,5,6.40298887,2.32227358,3.021774498,6.019285955,11.99279841,5.319708322
kiosk,Roxhill/Westwood,0,0,3.009962797,1.451281561,1.106407596,2.711213395,6.645577612,2.19988147
kiosk,Broadview/Bitter Lake,1,1,3.618317535,1.637127336,1.414618337,3.296539214,7.684063277,2.736487328
kiosk,Ravenna/Bryant,82,82,78.08448758,8.775611828,62.29645934,77.59595011,96.65943827,76.6284386
kiosk,Laurelhurst/Sand Point,33,33,31.04372907,5.475175187,21.69319212,30.57185623,43.08898585,29.64980676
kiosk,Capitol Hill,20,20,19.07876019,4.244938562,12.10390112,18.62333514,28.65810513,17.74518092
kiosk,Greenwood/Phinney Ridge,7,7,7.94374664,2.630091665,4.007408208,7.541127629,14.19364649,6.796306379
kiosk,Haller Lake,0,0,3.009962797,1.451281561,1.106407596,2.711213395,6.645577612,2.19988147
kiosk,North Beach/Blue Ridge,13,13,12.90981529,3.443902058,7.460657588,12.4735781,20.85806814,11.64511135
kiosk,Green Lake,2,2,4.267201868,1.8174803,1.763312823,3.925895079,8.742901865,3.323207518
kiosk,Ballard,18,18,17.28837341,4.028788322,10.7275203,16.8372174,26.4302876,15.97025887
kiosk,Fremont,29,29,27.31565682,5.123564541,18.6466311,26.8474399,38.65933475,25.93523207
kiosk,Magnolia,4,4,5.664135322,2.160018249,2.570036825,5.29232618,10.90061393,4.62055288
kiosk,Madison Park,5,5,6.40298887,2.32227358,3.021774498,6.019285955,11.99279841,5.319708322
kiosk,North Capitol Hill,15,15,14.64187966,3.686289254,8.733783938,14.19877239,23.08683901,13.35267603
kiosk,Cascade/Eastlake,19,19,18.18125211,4.137988377,11.41141593,17.72786981,27.54436652,16.85511488
kiosk,Downtown Commercial Core,4,4,5.664135322,2.160018249,2.570036825,5.29232618,10.90061393,4.62055288
kiosk,Duwamish/SODO,1,1,3.618317535,1.637127336,1.414618337,3.296539214,7.684063277,2.736487328
kiosk,West Seattle Junction/Genesee Hill,8,8,8.740248686,2.776336745,4.536209864,8.330056608,15.29975463,7.566805986
kiosk,North Beacon Hill/Jefferson Park,3,3,4.950803413,1.991806328,2.149509905,4.592981513,9.816394641,3.953147284
kiosk,Georgetown,0,0,3.009962797,1.451281561,1.106407596,2.711213395,6.645577612,2.19988147
kiosk,South Park,1,1,3.618317535,1.637127336,1.414618337,3.296539214,7.684063277,2.736487328
kiosk,Rainier Beach,13,13,12.90981529,3.443902058,7.460657588,12.4735781,20.85806814,11.64511135
kiosk,Sunset Hill/Loyal Heights,27,27,25.46480933,4.93973235,17.15142869,24.99878414,36.44081775,24.09254962
kiosk,Belltown,5,5,6.40298887,2.32227358,3.021774498,6.019285955,11.99279841,5.319708322
kiosk,Mt. Baker/North Rainier,5,5,6.40298887,2.32227358,3.021774498,6.019285955,11.99279841,5.319708322
