samplingLocation,GEOID,n,positive,fitted.values.mean,fitted.values.sd,fitted.values.0.025quant,fitted.values.0.5quant,fitted.values.0.975quant,fitted.values.mode
shelter,53033000200,2,2,1.263851738,0.424257902,0.631419524,1.198141051,2.273966149,1.076814411
shelter,53033000900,2,2,1.608350024,0.63650417,0.708005225,1.495484784,3.159570496,1.293022701
shelter,53033002000,10,10,4.819548122,1.384157799,2.667616203,4.632280094,8.045266956,4.279430268
shelter,53033005000,5,5,2.591406524,0.887262581,1.276478942,2.451672261,4.709761388,2.19445516
shelter,53033005801,0,0,1.239517135,0.47828303,0.557102705,1.156405275,2.400949536,1.0065834
shelter,53033006800,2,2,1.716443485,0.628516466,0.804110993,1.611774738,3.231366076,1.421242539
shelter,53033007900,28,28,16.10140977,3.309024848,10.58596925,15.77177569,23.50088129,15.13283155
shelter,53033009000,14,14,12.01381265,2.591175485,7.731687255,11.74374776,17.84002007,11.22181187
shelter,53033009100,45,45,33.29978645,5.172460037,24.31176683,32.90517163,44.54023301,32.13012988
shelter,53033010702,16,16,10.31704759,2.534780796,6.233380189,10.01907015,16.10627134,9.448789032
shelter,53033012100,1,1,1.815461281,0.713067382,0.804188474,1.689776985,3.551409471,1.463989942
shelter,53033022003,0,0,0.425099645,0.170912708,0.18467049,0.394411746,0.84256649,0.339530582
shelter,53033023201,0,0,0.350774124,0.136047553,0.156998431,0.327035294,0.681385021,0.284284997
shelter,53033025200,0,0,0.491836417,0.19779847,0.213612814,0.456313444,0.974992455,0.392788755
shelter,53033026500,3,3,2.735029658,0.825852974,1.467357997,2.618262625,4.672702877,2.39952511
shelter,53033027100,1,1,1.103988422,0.427595736,0.494671303,1.029459426,2.142891934,0.895207571
shelter,53033027900,0,0,0.531218855,0.20891711,0.235063012,0.494357746,1.039916144,0.428154614
shelter,53033028200,1,1,0.622634766,0.236551274,0.283365092,0.582040096,1.195793577,0.50864144
shelter,53033029502,1,1,0.267866068,0.102912221,0.120816346,0.250045139,0.517617453,0.217893166
shelter,53033030006,0,0,0.280100144,0.12435364,0.11146351,0.256001286,0.588116482,0.213855359
shelter,53033031705,0,0,0.244271548,0.10923015,0.096558375,0.222989282,0.515098802,0.185837095
shelter,53033032212,0,0,0.310222603,0.155981278,0.109274465,0.277153929,0.703150839,0.221226865
shelter,53033032324,0,0,0.275364249,0.160334349,0.082498979,0.237955046,0.68656816,0.177699829
shelter,53033000100,1,1,1.29199226,0.454448165,0.623968865,1.218787579,2.381130055,1.084637819
shelter,53033000700,2,2,1.767426944,0.568312264,0.909774503,1.682575822,3.112419885,1.524961841
shelter,53033001300,2,2,2.109410344,0.661340623,1.104386019,2.012797724,3.669104242,1.832698948
shelter,53033002100,2,2,2.714400849,0.811358581,1.465691877,2.600696086,4.61544534,2.387444921
shelter,53033003000,1,1,1.511305956,0.539587883,0.721784001,1.423301046,2.807227175,1.262429115
shelter,53033003300,1,1,1.431092948,0.511397835,0.68302326,1.347625035,2.659463269,1.195068931
shelter,53033006100,1,1,2.037560571,0.654704738,1.049334025,1.939870732,3.586859986,1.75839018
shelter,53033006900,0,0,1.419950665,0.574466406,0.61360361,1.316295626,2.824369837,1.131147497
shelter,53033007600,0,0,2.944421912,0.963184152,1.497884346,2.798483366,5.229391959,2.528049503
shelter,53033008200,0,0,3.598688465,1.208434208,1.797477074,3.411468648,6.475980633,3.065806577
shelter,53033010300,5,5,5.636710607,1.471118136,3.297454839,5.454008459,9.022365145,5.106321995
