samplingLocation,PUMA5CE,n,positive,fitted.values.mean,fitted.values.sd,fitted.values.0.025quant,fitted.values.0.5quant,fitted.values.0.975quant,fitted.values.mode
atHome,11602,8,8,13.64093452,2.472977693,9.434772735,13.42213716,19.09674225,12.99507394
atHome,11601,9,9,14.05023601,2.53046101,9.742049617,13.82775268,19.62908011,13.39338046
atHome,11603,3,3,11.70279842,2.191433946,7.993949386,11.50284988,16.5538276,11.11326223
atHome,11604,10,10,14.46665906,2.588281903,10.05568724,14.24052208,20.16911484,13.79889954
atHome,11605,5,5,12.45622133,2.302782979,8.551169954,12.24865767,17.5468741,11.84394304
atHome,11607,58,58,41.439172,5.440934294,31.79798414,41.08650881,53.09252024,40.39046414
atHome,11608,20,20,19.00976019,3.18034307,13.5374849,18.74916717,25.96986891,18.23887904
atHome,11610,18,18,18.04758947,3.06040066,12.79156176,17.79355909,24.75406029,17.2963925
atHome,11611,24,24,21.01036718,3.421508304,15.10150363,20.73718004,28.4788098,20.20164804
atHome,11613,22,22,19.99755836,3.300755988,14.30758809,19.73057869,27.21174663,19.20749967
atHome,11612,20,20,19.00976019,3.18034307,13.5374849,18.74916717,25.96986891,18.23887904
atHome,11615,15,15,16.65368098,2.881678997,11.71873132,16.40981401,22.98116174,15.93292686
atHome,11609,28,28,23.10847623,3.663554924,16.75915198,22.82341782,31.08499756,22.26400992
atHome,11606,27,27,22.57508888,3.603010256,16.3361461,22.29293015,30.42471315,21.73936179
atHome,11614,13,13,15.75812534,2.763547499,11.03462393,15.52123725,21.83438678,15.05824747
atHome,11616,16,16,17.11164197,2.94106916,12.07015131,16.86434561,23.5652056,16.38062116
clinic,11602,134,134,129.507842,11.35235372,108.6807306,129.0130916,153.1574298,128.0295607
clinic,11601,52,52,49.23024123,6.971190002,36.98018129,48.74394091,64.25536114,47.78610911
clinic,11603,135,135,130.4943365,11.39571914,109.582254,129.9995464,154.229131,129.0159057
clinic,11604,121,121,116.6932891,10.77319126,97.00093245,116.1991145,139.2047333,115.2172596
clinic,11605,60,60,56.9700665,7.505859298,43.67473858,56.48193122,73.05052273,55.51859773
clinic,11607,0,0,2.538023699,1.380415449,0.821841488,2.229513832,6.050154054,1.720475661
clinic,11608,0,0,2.538023699,1.380415449,0.821841488,2.229513832,6.050154054,1.720475661
clinic,11610,6,6,6.775277732,2.473832828,3.181062501,6.364270988,12.73556875,5.615745539
clinic,11611,3,3,4.507075508,1.962568601,1.825728237,4.132257567,9.355100065,3.47364523
clinic,11613,0,0,2.538023699,1.380415449,0.821841488,2.229513832,6.050154054,1.720475661
clinic,11612,0,0,2.538023699,1.380415449,0.821841488,2.229513832,6.050154054,1.720475661
clinic,11615,0,0,2.538023699,1.380415449,0.821841488,2.229513832,6.050154054,1.720475661
clinic,11609,0,0,2.538023699,1.380415449,0.821841488,2.229513832,6.050154054,1.720475661
clinic,11606,0,0,2.538023699,1.380415449,0.821841488,2.229513832,6.050154054,1.720475661
clinic,11614,0,0,2.538023699,1.380415449,0.821841488,2.229513832,6.050154054,1.720475661
clinic,11616,0,0,2.538023699,1.380415449,0.821841488,2.229513832,6.050154054,1.720475661
daycare,11602,233,233,227.9003001,15.01768033,199.8788515,227.4070539,258.7368955,226.4241546
daycare,11601,295,295,289.0382437,16.93110157,257.2684648,288.5435699,323.6321573,287.5570949
daycare,11603,309,309,302.8687031,17.33468782,270.3081951,302.3737853,338.2549257,301.38676
daycare,11604,155,155,151.3843649,12.20766652,128.8649125,150.8944965,176.6986906,149.919989
daycare,11605,87,87,85.45909384,9.11728691,68.98175832,84.97683055,104.6875002,84.02092167
daycare,11607,91,91,89.2995653,9.325408107,72.41586453,88.81656016,108.9385575,87.85884159
daycare,11608,20,20,23.19459832,4.580835101,15.50784111,22.75504383,33.3930089,21.90114133
daycare,11610,16,16,19.77437,4.194265631,12.82208452,19.34399923,29.1869809,18.5112576
daycare,11611,17,17,20.62185144,4.293200588,13.48206819,20.1889552,30.23607722,19.35045801
daycare,11613,21,21,24.06129454,4.673848192,16.19712748,23.61978426,34.44804373,22.76128699
daycare,11612,32,32,33.82405316,5.617964553,24.14785007,33.36691062,46.11019868,32.47148162
daycare,11615,17,17,20.62185144,4.293200588,13.48206819,20.1889552,30.23607722,19.35045801
daycare,11609,25,25,27.56709437,5.032939762,19.01591851,27.11881261,38.67868907,26.24412848
daycare,11606,49,49,49.44523975,6.866290757,37.35266328,48.97524995,64.21968426,48.0490526
